data;

set V := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86;

set A := 1 2
         1 44
         2 1
         2 25
         2 31
         2 33
         2 39
         2 40
         2 45
         3 40
         4 40
         4 47
         5 40
         5 48
         6 34
         6 49
         7 40
         7 50
         8 40
         8 51
         9 34
         9 52
         10 34
         10 53
         11 54
         12 33
         12 55
         13 33
         13 56
         14 33
         14 57
         15 33
         15 58
         16 27
         16 59
         17 27
         17 60
         18 27
         18 61
         19 27
         19 62
         20 27
         20 63
         21 33
         21 64
         22 27
         22 65
         23 27
         23 66
         24 33
         24 67
         25 2
         25 68
         26 33
         26 69
         27 11
         27 16
         27 17
         27 18
         27 19
         27 20
         27 22
         27 23
         27 28
         27 29
         27 32
         27 33
         27 34
         27 70
         28 27
         28 71
         29 27
         29 72
         30 33
         30 73
         31 2
         31 74
         32 27
         32 75
         33 2
         33 12
         33 13
         33 14
         33 15
         33 21
         33 24
         33 26
         33 27
         33 30
         33 41
         33 76
         34 6
         34 9
         34 10
         34 27
         34 35
         34 40
         34 42
         34 43
         34 77
         35 34
         35 78
         36 40
         36 79
         37 40
         37 80
         38 40
         38 81
         39 2
         39 82
         40 2
         40 4
         40 5
         40 7
         40 8
         40 34
         40 36
         40 37
         40 38
         40 83
         41 33
         41 84
         42 34
         42 85
         43 34
         43 86
         ;

set S := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362;

set F[1] := 1 2
            2 33
            33 27
            27 23
            23 66
            ;
set F[2] := 1 2
            2 33
            33 27
            27 70
            ;
set F[3] := 1 2
            2 33
            33 76
            ;
set F[4] := 1 2
            2 40
            40 34
            34 77
            ;
set F[5] := 1 2
            2 40
            40 83
            ;
set F[6] := 2 40
            40 8
            8 51
            ;
set F[7] := 2 40
            40 34
            34 9
            9 52
            ;
set F[8] := 2 40
            40 34
            34 10
            10 53
            ;
set F[9] := 2 33
            33 27
            27 11
            11 54
            ;
set F[10] := 2 33
             33 12
             12 55
             ;
set F[11] := 2 33
             33 13
             13 56
             ;
set F[12] := 2 33
             33 14
             14 57
             ;
set F[13] := 2 33
             33 27
             27 18
             18 61
             ;
set F[14] := 2 33
             33 27
             27 20
             20 63
             ;
set F[15] := 2 33
             33 21
             21 64
             ;
set F[16] := 2 33
             33 27
             27 23
             23 66
             ;
set F[17] := 2 33
             33 27
             27 70
             ;
set F[18] := 2 31
             31 74
             ;
set F[19] := 2 33
             33 27
             27 32
             32 75
             ;
set F[20] := 2 33
             33 76
             ;
set F[21] := 2 40
             40 34
             34 77
             ;
set F[22] := 2 40
             40 34
             34 35
             35 78
             ;
set F[23] := 2 40
             40 37
             37 80
             ;
set F[24] := 2 40
             40 38
             38 81
             ;
set F[25] := 2 40
             40 83
             ;
set F[26] := 3 40
             40 34
             34 27
             27 23
             23 66
             ;
set F[27] := 3 40
             40 34
             34 27
             27 70
             ;
set F[28] := 3 40
             40 2
             2 33
             33 76
             ;
set F[29] := 3 40
             40 34
             34 77
             ;
set F[30] := 3 40
             40 83
             ;
set F[31] := 4 40
             40 34
             34 27
             27 23
             23 66
             ;
set F[32] := 4 40
             40 34
             34 27
             27 70
             ;
set F[33] := 4 40
             40 2
             2 33
             33 76
             ;
set F[34] := 4 40
             40 34
             34 77
             ;
set F[35] := 4 40
             40 83
             ;
set F[36] := 5 40
             40 34
             34 27
             27 23
             23 66
             ;
set F[37] := 5 40
             40 34
             34 27
             27 70
             ;
set F[38] := 5 40
             40 2
             2 33
             33 76
             ;
set F[39] := 5 40
             40 34
             34 77
             ;
set F[40] := 5 40
             40 83
             ;
set F[41] := 6 34
             34 27
             27 23
             23 66
             ;
set F[42] := 6 34
             34 27
             27 70
             ;
set F[43] := 6 34
             34 27
             27 33
             33 76
             ;
set F[44] := 6 34
             34 77
             ;
set F[45] := 6 34
             34 40
             40 83
             ;
set F[46] := 7 40
             40 34
             34 27
             27 23
             23 66
             ;
set F[47] := 7 40
             40 34
             34 27
             27 70
             ;
set F[48] := 7 40
             40 2
             2 33
             33 76
             ;
set F[49] := 7 40
             40 34
             34 77
             ;
set F[50] := 7 40
             40 83
             ;
set F[51] := 8 40
             40 34
             34 27
             27 70
             ;
set F[52] := 8 40
             40 2
             2 33
             33 76
             ;
set F[53] := 8 40
             40 34
             34 77
             ;
set F[54] := 9 34
             34 27
             27 23
             23 66
             ;
set F[55] := 9 34
             34 27
             27 70
             ;
set F[56] := 9 34
             34 27
             27 33
             33 76
             ;
set F[57] := 9 34
             34 77
             ;
set F[58] := 9 34
             34 40
             40 83
             ;
set F[59] := 10 34
             34 27
             27 70
             ;
set F[60] := 10 34
             34 27
             27 33
             33 76
             ;
set F[61] := 10 34
             34 77
             ;
set F[62] := 12 33
             33 27
             27 23
             23 66
             ;
set F[63] := 12 33
             33 27
             27 70
             ;
set F[64] := 12 33
             33 76
             ;
set F[65] := 12 33
             33 27
             27 34
             34 77
             ;
set F[66] := 12 33
             33 2
             2 40
             40 83
             ;
set F[67] := 13 33
             33 27
             27 70
             ;
set F[68] := 14 33
             33 27
             27 23
             23 66
             ;
set F[69] := 14 33
             33 27
             27 70
             ;
set F[70] := 14 33
             33 76
             ;
set F[71] := 14 33
             33 27
             27 34
             34 77
             ;
set F[72] := 14 33
             33 2
             2 40
             40 83
             ;
set F[73] := 15 33
             33 27
             27 23
             23 66
             ;
set F[74] := 15 33
             33 27
             27 70
             ;
set F[75] := 15 33
             33 76
             ;
set F[76] := 15 33
             33 27
             27 34
             34 77
             ;
set F[77] := 15 33
             33 2
             2 40
             40 83
             ;
set F[78] := 16 27
             27 70
             ;
set F[79] := 16 27
             27 33
             33 76
             ;
set F[80] := 16 27
             27 34
             34 77
             ;
set F[81] := 16 27
             27 34
             34 40
             40 83
             ;
set F[82] := 17 27
             27 23
             23 66
             ;
set F[83] := 17 27
             27 70
             ;
set F[84] := 17 27
             27 33
             33 76
             ;
set F[85] := 17 27
             27 34
             34 77
             ;
set F[86] := 17 27
             27 34
             34 40
             40 83
             ;
set F[87] := 18 27
             27 70
             ;
set F[88] := 18 27
             27 33
             33 76
             ;
set F[89] := 18 27
             27 34
             34 77
             ;
set F[90] := 19 27
             27 23
             23 66
             ;
set F[91] := 19 27
             27 70
             ;
set F[92] := 19 27
             27 33
             33 76
             ;
set F[93] := 19 27
             27 34
             34 77
             ;
set F[94] := 19 27
             27 34
             34 40
             40 83
             ;
set F[95] := 20 27
             27 23
             23 66
             ;
set F[96] := 20 27
             27 70
             ;
set F[97] := 20 27
             27 33
             33 76
             ;
set F[98] := 20 27
             27 34
             34 77
             ;
set F[99] := 20 27
             27 34
             34 40
             40 83
             ;
set F[100] := 21 33
              33 27
              27 23
              23 66
              ;
set F[101] := 21 33
              33 27
              27 70
              ;
set F[102] := 21 33
              33 76
              ;
set F[103] := 21 33
              33 27
              27 34
              34 77
              ;
set F[104] := 21 33
              33 2
              2 40
              40 83
              ;
set F[105] := 22 27
              27 70
              ;
set F[106] := 23 27
              27 33
              33 2
              2 1
              1 44
              ;
set F[107] := 23 27
              27 33
              33 2
              2 45
              ;
set F[108] := 23 27
              27 34
              34 40
              40 4
              4 47
              ;
set F[109] := 23 27
              27 34
              34 40
              40 5
              5 48
              ;
set F[110] := 23 27
              27 34
              34 6
              6 49
              ;
set F[111] := 23 27
              27 34
              34 40
              40 7
              7 50
              ;
set F[112] := 23 27
              27 34
              34 40
              40 8
              8 51
              ;
set F[113] := 23 27
              27 34
              34 9
              9 52
              ;
set F[114] := 23 27
              27 34
              34 10
              10 53
              ;
set F[115] := 23 27
              27 11
              11 54
              ;
set F[116] := 23 27
              27 33
              33 12
              12 55
              ;
set F[117] := 23 27
              27 33
              33 13
              13 56
              ;
set F[118] := 23 27
              27 33
              33 14
              14 57
              ;
set F[119] := 23 27
              27 33
              33 15
              15 58
              ;
set F[120] := 23 27
              27 16
              16 59
              ;
set F[121] := 23 27
              27 17
              17 60
              ;
set F[122] := 23 27
              27 18
              18 61
              ;
set F[123] := 23 27
              27 19
              19 62
              ;
set F[124] := 23 27
              27 20
              20 63
              ;
set F[125] := 23 27
              27 33
              33 21
              21 64
              ;
set F[126] := 23 27
              27 22
              22 65
              ;
set F[127] := 23 27
              27 33
              33 24
              24 67
              ;
set F[128] := 23 27
              27 33
              33 2
              2 25
              25 68
              ;
set F[129] := 23 27
              27 33
              33 26
              26 69
              ;
set F[130] := 23 27
              27 70
              ;
set F[131] := 23 27
              27 28
              28 71
              ;
set F[132] := 23 27
              27 29
              29 72
              ;
set F[133] := 23 27
              27 33
              33 30
              30 73
              ;
set F[134] := 23 27
              27 33
              33 2
              2 31
              31 74
              ;
set F[135] := 23 27
              27 32
              32 75
              ;
set F[136] := 23 27
              27 33
              33 76
              ;
set F[137] := 23 27
              27 34
              34 77
              ;
set F[138] := 23 27
              27 34
              34 35
              35 78
              ;
set F[139] := 23 27
              27 34
              34 40
              40 36
              36 79
              ;
set F[140] := 23 27
              27 34
              34 40
              40 37
              37 80
              ;
set F[141] := 23 27
              27 34
              34 40
              40 38
              38 81
              ;
set F[142] := 23 27
              27 33
              33 2
              2 39
              39 82
              ;
set F[143] := 23 27
              27 34
              34 40
              40 83
              ;
set F[144] := 23 27
              27 33
              33 41
              41 84
              ;
set F[145] := 23 27
              27 34
              34 42
              42 85
              ;
set F[146] := 23 27
              27 34
              34 43
              43 86
              ;
set F[147] := 24 33
              33 27
              27 70
              ;
set F[148] := 24 33
              33 76
              ;
set F[149] := 25 2
              2 33
              33 27
              27 70
              ;
set F[150] := 25 2
              2 33
              33 76
              ;
set F[151] := 25 2
              2 40
              40 34
              34 77
              ;
set F[152] := 26 33
              33 27
              27 23
              23 66
              ;
set F[153] := 26 33
              33 27
              27 70
              ;
set F[154] := 26 33
              33 76
              ;
set F[155] := 26 33
              33 27
              27 34
              34 77
              ;
set F[156] := 26 33
              33 2
              2 40
              40 83
              ;
set F[157] := 27 33
              33 2
              2 1
              1 44
              ;
set F[158] := 27 33
              33 2
              2 45
              ;
set F[159] := 27 34
              34 40
              40 4
              4 47
              ;
set F[160] := 27 34
              34 40
              40 5
              5 48
              ;
set F[161] := 27 34
              34 6
              6 49
              ;
set F[162] := 27 34
              34 40
              40 7
              7 50
              ;
set F[163] := 27 34
              34 40
              40 8
              8 51
              ;
set F[164] := 27 34
              34 9
              9 52
              ;
set F[165] := 27 34
              34 10
              10 53
              ;
set F[166] := 27 11
              11 54
              ;
set F[167] := 27 33
              33 12
              12 55
              ;
set F[168] := 27 33
              33 13
              13 56
              ;
set F[169] := 27 33
              33 14
              14 57
              ;
set F[170] := 27 33
              33 15
              15 58
              ;
set F[171] := 27 16
              16 59
              ;
set F[172] := 27 17
              17 60
              ;
set F[173] := 27 18
              18 61
              ;
set F[174] := 27 19
              19 62
              ;
set F[175] := 27 20
              20 63
              ;
set F[176] := 27 33
              33 21
              21 64
              ;
set F[177] := 27 22
              22 65
              ;
set F[178] := 27 23
              23 66
              ;
set F[179] := 27 33
              33 24
              24 67
              ;
set F[180] := 27 33
              33 2
              2 25
              25 68
              ;
set F[181] := 27 33
              33 26
              26 69
              ;
set F[182] := 27 28
              28 71
              ;
set F[183] := 27 29
              29 72
              ;
set F[184] := 27 33
              33 30
              30 73
              ;
set F[185] := 27 33
              33 2
              2 31
              31 74
              ;
set F[186] := 27 32
              32 75
              ;
set F[187] := 27 33
              33 76
              ;
set F[188] := 27 34
              34 77
              ;
set F[189] := 27 34
              34 35
              35 78
              ;
set F[190] := 27 34
              34 40
              40 36
              36 79
              ;
set F[191] := 27 34
              34 40
              40 37
              37 80
              ;
set F[192] := 27 34
              34 40
              40 38
              38 81
              ;
set F[193] := 27 33
              33 2
              2 39
              39 82
              ;
set F[194] := 27 34
              34 40
              40 83
              ;
set F[195] := 27 33
              33 41
              41 84
              ;
set F[196] := 27 34
              34 42
              42 85
              ;
set F[197] := 27 34
              34 43
              43 86
              ;
set F[198] := 28 27
              27 23
              23 66
              ;
set F[199] := 28 27
              27 70
              ;
set F[200] := 28 27
              27 33
              33 76
              ;
set F[201] := 28 27
              27 34
              34 77
              ;
set F[202] := 28 27
              27 34
              34 40
              40 83
              ;
set F[203] := 29 27
              27 23
              23 66
              ;
set F[204] := 29 27
              27 70
              ;
set F[205] := 29 27
              27 33
              33 76
              ;
set F[206] := 29 27
              27 34
              34 77
              ;
set F[207] := 29 27
              27 34
              34 40
              40 83
              ;
set F[208] := 30 33
              33 27
              27 70
              ;
set F[209] := 30 33
              33 76
              ;
set F[210] := 30 33
              33 27
              27 34
              34 77
              ;
set F[211] := 30 33
              33 2
              2 40
              40 83
              ;
set F[212] := 31 2
              2 33
              33 27
              27 23
              23 66
              ;
set F[213] := 31 2
              2 33
              33 27
              27 70
              ;
set F[214] := 31 2
              2 33
              33 76
              ;
set F[215] := 31 2
              2 40
              40 34
              34 77
              ;
set F[216] := 31 2
              2 40
              40 83
              ;
set F[217] := 32 27
              27 23
              23 66
              ;
set F[218] := 32 27
              27 70
              ;
set F[219] := 32 27
              27 33
              33 76
              ;
set F[220] := 32 27
              27 34
              34 77
              ;
set F[221] := 32 27
              27 34
              34 40
              40 83
              ;
set F[222] := 33 2
              2 1
              1 44
              ;
set F[223] := 33 2
              2 45
              ;
set F[224] := 33 2
              2 40
              40 4
              4 47
              ;
set F[225] := 33 2
              2 40
              40 5
              5 48
              ;
set F[226] := 33 27
              27 34
              34 6
              6 49
              ;
set F[227] := 33 2
              2 40
              40 7
              7 50
              ;
set F[228] := 33 2
              2 40
              40 8
              8 51
              ;
set F[229] := 33 27
              27 34
              34 9
              9 52
              ;
set F[230] := 33 27
              27 34
              34 10
              10 53
              ;
set F[231] := 33 27
              27 11
              11 54
              ;
set F[232] := 33 12
              12 55
              ;
set F[233] := 33 13
              13 56
              ;
set F[234] := 33 14
              14 57
              ;
set F[235] := 33 15
              15 58
              ;
set F[236] := 33 27
              27 16
              16 59
              ;
set F[237] := 33 27
              27 17
              17 60
              ;
set F[238] := 33 27
              27 18
              18 61
              ;
set F[239] := 33 27
              27 19
              19 62
              ;
set F[240] := 33 27
              27 20
              20 63
              ;
set F[241] := 33 21
              21 64
              ;
set F[242] := 33 27
              27 22
              22 65
              ;
set F[243] := 33 27
              27 23
              23 66
              ;
set F[244] := 33 2
              2 25
              25 68
              ;
set F[245] := 33 26
              26 69
              ;
set F[246] := 33 27
              27 70
              ;
set F[247] := 33 27
              27 28
              28 71
              ;
set F[248] := 33 27
              27 29
              29 72
              ;
set F[249] := 33 30
              30 73
              ;
set F[250] := 33 2
              2 31
              31 74
              ;
set F[251] := 33 27
              27 32
              32 75
              ;
set F[252] := 33 27
              27 34
              34 77
              ;
set F[253] := 33 27
              27 34
              34 35
              35 78
              ;
set F[254] := 33 2
              2 40
              40 36
              36 79
              ;
set F[255] := 33 2
              2 40
              40 37
              37 80
              ;
set F[256] := 33 2
              2 40
              40 38
              38 81
              ;
set F[257] := 33 2
              2 39
              39 82
              ;
set F[258] := 33 2
              2 40
              40 83
              ;
set F[259] := 33 41
              41 84
              ;
set F[260] := 33 27
              27 34
              34 42
              42 85
              ;
set F[261] := 33 27
              27 34
              34 43
              43 86
              ;
set F[262] := 34 40
              40 2
              2 1
              1 44
              ;
set F[263] := 34 40
              40 2
              2 45
              ;
set F[264] := 34 40
              40 4
              4 47
              ;
set F[265] := 34 40
              40 7
              7 50
              ;
set F[266] := 34 40
              40 8
              8 51
              ;
set F[267] := 34 9
              9 52
              ;
set F[268] := 34 10
              10 53
              ;
set F[269] := 34 27
              27 11
              11 54
              ;
set F[270] := 34 27
              27 33
              33 12
              12 55
              ;
set F[271] := 34 27
              27 33
              33 13
              13 56
              ;
set F[272] := 34 27
              27 33
              33 14
              14 57
              ;
set F[273] := 34 27
              27 16
              16 59
              ;
set F[274] := 34 27
              27 17
              17 60
              ;
set F[275] := 34 27
              27 18
              18 61
              ;
set F[276] := 34 27
              27 19
              19 62
              ;
set F[277] := 34 27
              27 20
              20 63
              ;
set F[278] := 34 27
              27 33
              33 21
              21 64
              ;
set F[279] := 34 27
              27 22
              22 65
              ;
set F[280] := 34 27
              27 23
              23 66
              ;
set F[281] := 34 40
              40 2
              2 25
              25 68
              ;
set F[282] := 34 27
              27 33
              33 26
              26 69
              ;
set F[283] := 34 27
              27 70
              ;
set F[284] := 34 27
              27 29
              29 72
              ;
set F[285] := 34 40
              40 2
              2 31
              31 74
              ;
set F[286] := 34 27
              27 32
              32 75
              ;
set F[287] := 34 27
              27 33
              33 76
              ;
set F[288] := 34 35
              35 78
              ;
set F[289] := 34 40
              40 37
              37 80
              ;
set F[290] := 34 40
              40 38
              38 81
              ;
set F[291] := 34 40
              40 2
              2 39
              39 82
              ;
set F[292] := 34 40
              40 83
              ;
set F[293] := 34 27
              27 33
              33 41
              41 84
              ;
set F[294] := 34 42
              42 85
              ;
set F[295] := 34 43
              43 86
              ;
set F[296] := 35 34
              34 27
              27 23
              23 66
              ;
set F[297] := 35 34
              34 27
              27 70
              ;
set F[298] := 35 34
              34 27
              27 33
              33 76
              ;
set F[299] := 35 34
              34 77
              ;
set F[300] := 35 34
              34 40
              40 83
              ;
set F[301] := 36 40
              40 34
              34 27
              27 70
              ;
set F[302] := 36 40
              40 2
              2 33
              33 76
              ;
set F[303] := 36 40
              40 34
              34 77
              ;
set F[304] := 37 40
              40 34
              34 27
              27 20
              20 63
              ;
set F[305] := 37 40
              40 34
              34 27
              27 23
              23 66
              ;
set F[306] := 37 40
              40 34
              34 27
              27 70
              ;
set F[307] := 37 40
              40 2
              2 33
              33 76
              ;
set F[308] := 37 40
              40 34
              34 77
              ;
set F[309] := 37 40
              40 38
              38 81
              ;
set F[310] := 37 40
              40 83
              ;
set F[311] := 38 40
              40 34
              34 27
              27 70
              ;
set F[312] := 39 2
              2 33
              33 27
              27 23
              23 66
              ;
set F[313] := 39 2
              2 33
              33 27
              27 70
              ;
set F[314] := 39 2
              2 33
              33 76
              ;
set F[315] := 39 2
              2 40
              40 34
              34 77
              ;
set F[316] := 39 2
              2 40
              40 38
              38 81
              ;
set F[317] := 39 2
              2 40
              40 83
              ;
set F[318] := 40 2
              2 45
              ;
set F[319] := 40 4
              4 47
              ;
set F[320] := 40 7
              7 50
              ;
set F[321] := 40 8
              8 51
              ;
set F[322] := 40 34
              34 9
              9 52
              ;
set F[323] := 40 34
              34 10
              10 53
              ;
set F[324] := 40 34
              34 27
              27 11
              11 54
              ;
set F[325] := 40 2
              2 33
              33 12
              12 55
              ;
set F[326] := 40 2
              2 33
              33 13
              13 56
              ;
set F[327] := 40 2
              2 33
              33 14
              14 57
              ;
set F[328] := 40 34
              34 27
              27 16
              16 59
              ;
set F[329] := 40 34
              34 27
              27 17
              17 60
              ;
set F[330] := 40 34
              34 27
              27 18
              18 61
              ;
set F[331] := 40 34
              34 27
              27 19
              19 62
              ;
set F[332] := 40 34
              34 27
              27 20
              20 63
              ;
set F[333] := 40 2
              2 33
              33 21
              21 64
              ;
set F[334] := 40 34
              34 27
              27 22
              22 65
              ;
set F[335] := 40 34
              34 27
              27 23
              23 66
              ;
set F[336] := 40 2
              2 25
              25 68
              ;
set F[337] := 40 2
              2 33
              33 26
              26 69
              ;
set F[338] := 40 34
              34 27
              27 70
              ;
set F[339] := 40 34
              34 27
              27 29
              29 72
              ;
set F[340] := 40 2
              2 31
              31 74
              ;
set F[341] := 40 34
              34 27
              27 32
              32 75
              ;
set F[342] := 40 2
              2 33
              33 76
              ;
set F[343] := 40 34
              34 77
              ;
set F[344] := 40 34
              34 35
              35 78
              ;
set F[345] := 40 37
              37 80
              ;
set F[346] := 40 38
              38 81
              ;
set F[347] := 40 2
              2 39
              39 82
              ;
set F[348] := 40 2
              2 33
              33 41
              41 84
              ;
set F[349] := 40 34
              34 42
              42 85
              ;
set F[350] := 40 34
              34 43
              43 86
              ;
set F[351] := 41 33
              33 27
              27 23
              23 66
              ;
set F[352] := 41 33
              33 27
              27 70
              ;
set F[353] := 41 33
              33 76
              ;
set F[354] := 41 33
              33 27
              27 34
              34 77
              ;
set F[355] := 41 33
              33 2
              2 40
              40 83
              ;
set F[356] := 42 34
              34 27
              27 23
              23 66
              ;
set F[357] := 42 34
              34 27
              27 70
              ;
set F[358] := 42 34
              34 27
              27 33
              33 76
              ;
set F[359] := 42 34
              34 77
