Number of groups: 405
Flow 5: {1 5 0} 
Flow 19: {3 19 0} 
Flow 34: {4 33 0} 
Flow 105: {2 1 0} 
Flow 132: {67 45 0} 
Flow 144: {2 20 0} 
Flow 180: {1 6 0} 
Flow 182: {1 8 0} 
Flow 184: {1 10 0} 
Flow 186: {1 4 0} 
Flow 194: {3 20 0} 
Flow 197: {28 23 0} 
Flow 201: {55 27 0} 
Flow 250: {1 9 0} 
Flow 253: {1 7 0} 
Flow 255: {3 1 0} 
Flow 259: {85 172 0} 
Flow 321: {16 62 0} 
Flow 324: {66 65 0} 
Flow 348: {5 1 0} 
Flow 355: {5 10 0} 
Flow 363: {1 3 0} 
Flow 374: {29 116 0} 
Flow 377: {5 2 0} 
Flow 387: {5 35 0} 
Flow 404: {58 59 0} 
Flow 416: {46 71 0} 
Flow 433: {6 1 0} 
Flow 440: {6 8 0} 
Flow 454: {6 47 0} 
Flow 466: {31 34 0} 
Flow 471: {28 39 0} 
Flow 537: {7 1 0} 
Flow 538: {7 8 0} 
Flow 564: {7 79 0} 
Flow 574: {53 55 0} 
Flow 577: {79 6 0} 
Flow 579: {11 13 0} 
Flow 587: {7 2 0} 
Flow 597: {46 78 0} 
Flow 607: {8 1 0} 
Flow 612: {8 6 0} 
Flow 643: {20 4 0} 
Flow 659: {8 20 0} 
Flow 678: {8 19 0} 
Flow 679: {9 75 0} 
Flow 680: {58 44 0} 
Flow 682: {9 58 0} 
Flow 683: {8 7 0} 
Flow 750: {59 146 0} 
Flow 789: {1 11 0} 
Flow 796: {3 18 0} 
Flow 796: {10 1 0} 
Flow 816: {4 43 0} 
Flow 825: {10 20 0} 
Flow 842: {64 151 0} 
Flow 865: {87 174 0} 
Flow 898: {11 2 0} 
Flow 910: {45 132 0} 
Flow 923: {11 1 0} 
Flow 932: {67 154 0} 
Flow 948: {11 35 0} 
Flow 986: {34 121 0} 
Flow 989: {28 37 0} 
Flow 1008: {12 14 0} 
Flow 1012: {14 61 0} 
Flow 1036: {58 46 0} 
Flow 1095: {56 143 0} 
Flow 1120: {13 40 0} 
Flow 1129: {14 12 0} 
Flow 1135: {9 96 0} 
Flow 1166: {40 127 0} 
Flow 1211: {23 85 0} 
Flow 1218: {13 11 0} 
Flow 1266: {40 36 0} 
Flow 1276: {15 12 0} 
Flow 1281: {54 57 0} 
Flow 1289: {15 13 0} 
Flow 1317: {63 17 0} 
Flow 1332: {33 32 0} 
Flow 1352: {59 52 0} 
Flow 1373: {16 13 0} 
Flow 1384: {84 171 0} 
Flow 1386: {85 86 0} 
Flow 1403: {17 63 0} 
Flow 1419: {32 119 0} 
Flow 1429: {42 129 0} 
Flow 1444: {56 54 0} 
Flow 1462: {40 4 0} 
Flow 1466: {17 12 0} 
Flow 1476: {1 2 0} 
Flow 1485: {18 3 0} 
Flow 1504: {80 30 0} 
Flow 1523: {49 136 0} 
Flow 1541: {9 67 0} 
Flow 1546: {9 72 0} 
Flow 1550: {18 9 0} 
Flow 1550: {44 76 0} 
Flow 1592: {19 9 0} 
Flow 1641: {80 167 0} 
Flow 1654: {47 6 0} 
Flow 1678: {41 29 0} 
Flow 1716: {68 155 0} 
Flow 1748: {24 40 0} 
Flow 1761: {22 26 0} 
Flow 1776: {41 128 0} 
Flow 1799: {21 24 0} 
Flow 1819: {78 84 0} 
Flow 1823: {4 1 0} 
Flow 1847: {22 25 0} 
Flow 1858: {36 123 0} 
Flow 1859: {22 28 0} 
Flow 1876: {22 29 0} 
Flow 1885: {36 40 0} 
Flow 1916: {7 94 0} 
Flow 1917: {20 8 0} 
Flow 1937: {28 115 0} 
Flow 1960: {51 138 0} 
Flow 1981: {72 159 0} 
Flow 2001: {5 92 0} 
Flow 2023: {22 27 0} 
Flow 2035: {24 28 0} 
Flow 2045: {13 49 0} 
Flow 2076: {81 66 0} 
Flow 2080: {24 23 0} 
Flow 2093: {12 99 0} 
Flow 2101: {25 53 0} 
Flow 2103: {25 22 0} 
Flow 2124: {36 43 0} 
Flow 2138: {25 54 0} 
Flow 2142: {61 148 0} 
Flow 2191: {26 22 0} 
Flow 2195: {83 30 0} 
Flow 2198: {26 83 0} 
Flow 2219: {26 80 0} 
Flow 2223: {30 55 0} 
Flow 2241: {26 73 0} 
Flow 2262: {79 7 0} 
Flow 2281: {27 30 0} 
Flow 2281: {30 83 0} 
Flow 2295: {27 55 0} 
