OKAY
Number of groups: 856
Flow 5: {1 5 0} 
Flow 20: {3 71 0} 
Flow 30: {9 12 0} 
Flow 116: {9 116 0} 
Flow 141: {107 3 0} 
Flow 148: {10 148 0} 
Flow 188: {37 50 0} 
Flow 232: {94 232 0} 
Flow 289: {13 151 0} 
Flow 290: {1 9 0} 
Flow 338: {3 11 0} 
Flow 377: {3 1 0} 
Flow 387: {111 249 0} 
Flow 393: {117 255 0} 
Flow 422: {1 8 0} 
Flow 446: {11 5 0} 
Flow 458: {11 58 0} 
Flow 465: {51 189 0} 
Flow 471: {4 11 0} 
Flow 502: {4 1 0} 
Flow 521: {3 107 0} 
Flow 523: {109 247 0} 
Flow 587: {35 173 0} 
Flow 592: {40 178 0} 
Flow 626: {71 74 0} 
Flow 633: {83 81 0} 
Flow 661: {5 109 0} 
Flow 676: {124 262 0} 
Flow 692: {1 2 0} 
Flow 726: {16 36 0} 
Flow 729: {1 3 0} 
Flow 740: {9 95 0} 
Flow 769: {9 79 0} 
Flow 772: {74 82 0} 
Flow 781: {117 91 0} 
Flow 783: {94 93 0} 
Flow 799: {3 109 0} 
Flow 818: {6 1 0} 
Flow 834: {7 1 0} 
Flow 841: {7 13 0} 
Flow 888: {7 60 0} 
Flow 898: {7 95 0} 
Flow 948: {7 117 0} 
Flow 1007: {8 71 0} 
Flow 1007: {41 44 0} 
Flow 1008: {45 183 0} 
Flow 1059: {60 99 0} 
Flow 1104: {1 7 0} 
Flow 1107: {1 10 0} 
Flow 1141: {9 71 0} 
Flow 1157: {9 60 0} 
Flow 1172: {75 213 0} 
Flow 1221: {126 124 0} 
Flow 1265: {10 12 0} 
Flow 1295: {10 60 0} 
Flow 1299: {10 95 0} 
Flow 1304: {69 207 0} 
Flow 1316: {89 83 0} 
Flow 1351: {10 116 0} 
Flow 1376: {11 3 0} 
Flow 1402: {5 29 0} 
Flow 1428: {38 55 0} 
Flow 1458: {86 85 0} 
Flow 1506: {58 67 0} 
Flow 1512: {1 139 0} 
Flow 1530: {12 27 0} 
Flow 1535: {91 24 0} 
Flow 1536: {12 25 0} 
Flow 1540: {12 29 0} 
Flow 1558: {12 4 0} 
Flow 1576: {8 95 0} 
Flow 1617: {12 28 0} 
Flow 1630: {8 117 0} 
Flow 1656: {13 7 0} 
Flow 1658: {13 9 0} 
Flow 1659: {13 10 0} 
Flow 1666: {34 15 0} 
Flow 1676: {13 3 0} 
Flow 1677: {3 28 0} 
Flow 1680: {3 31 0} 
Flow 1711: {13 4 0} 
Flow 1713: {34 64 0} 
Flow 1749: {13 8 0} 
Flow 1751: {3 102 0} 
Flow 1786: {70 51 0} 
Flow 1789: {14 16 0} 
Flow 1805: {14 18 0} 
Flow 1806: {14 15 0} 
Flow 1831: {44 182 0} 
Flow 1872: {87 85 0} 
Flow 1887: {34 100 0} 
Flow 1961: {15 16 0} 
Flow 1968: {15 21 0} 
Flow 1980: {15 33 0} 
Flow 2032: {2 107 0} 
Flow 2064: {38 34 0} 
Flow 2081: {16 35 0} 
Flow 2100: {16 37 0} 
Flow 2111: {21 67 0} 
Flow 2117: {52 54 0} 
Flow 2135: {122 72 0} 
Flow 2153: {38 22 0} 
Flow 2207: {9 1 0} 
Flow 2214: {17 15 0} 
Flow 2219: {17 14 0} 
Flow 2252: {17 33 0} 
Flow 2301: {17 16 0} 
Flow 2318: {118 117 0} 
Flow 2334: {133 271 0} 
Flow 2339: {138 276 0} 
Flow 2345: {1 6 0} 
Flow 2356: {18 14 0} 
Flow 2356: {14 17 0} 
Flow 2372: {18 15 0} 
Flow 2412: {18 34 0} 
Flow 2413: {34 95 0} 
Flow 2414: {18 35 0} 
Flow 2437: {15 98 0} 
Flow 2457: {21 118 0} 
Flow 2458: {119 257 0} 
Flow 2484: {7 145 0} 
Flow 2494: {16 17 0} 
Flow 2499: {19 22 0} 
Flow 2500: {19 23 0} 
Flow 2534: {57 195 0} 
Flow 2573: {20 94 0} 
Flow 2580: {2 103 0} 
Flow 2645: {71 8 0} 
Flow 2672: {56 57 0} 
Flow 2701: {20 19 0} 
Flow 2701: {19 21 0} 
Flow 2704: {20 22 0} 
Flow 2712: {94 97 0} 
Flow 2816: {65 203 0} 
Flow 2846: {92 97 0} 
Flow 2859: {67 71 0} 
Flow 2884: {101 135 0} 
Flow 2908: {21 159 0} 
Flow 2914: {73 71 0} 
Flow 2947: {22 60 0} 
Flow 2963: {86 76 0} 
Flow 3029: {1 4 0} 
Flow 3044: {23 19 0} 
Flow 3116: {23 91 0} 
Flow 3118: {23 93 0} 
Flow 3150: {23 92 0} 
Flow 3159: {51 134 0} 
Flow 3165: {24 19 0} 
Flow 3177: {15 14 0} 
Flow 3250: {24 91 0} 
Flow 3253: {24 92 0} 
Flow 3259: {91 96 0} 
Flow 3260: {91 97 0} 
Flow 3299: {51 136 0} 
Flow 3327: {12 26 0} 
Flow 3333: {12 32 0} 
Flow 3385: {25 71 0} 
Flow 3415: {25 105 0} 
Flow 3424: {64 123 0} 
Flow 3454: {15 153 0} 
Flow 3466: {26 12 0} 
Flow 3485: {46 184 0} 
Flow 3518: {26 71 0} 
Flow 3519: {80 218 0} 
Flow 3540: {101 239 0} 
Flow 3544: {26 105 0} 
Flow 3566: {127 265 0} 
Flow 3581: {27 12 0} 
Flow 3620: {71 67 0} 
Flow 3661: {88 226 0} 
Flow 3664: {91 229 0} 
Flow 3680: {71 2 0} 
Flow 3703: {130 268 0} 
Flow 3724: {28 3 0} 
Flow 3754: {43 181 0} 
Flow 3791: {28 2 0} 
Flow 3913: {5 11 0} 
Flow 3926: {29 12 0} 
Flow 3931: {98 236 0} 
Flow 3932: {12 8 0} 
Flow 3936: {29 2 0} 
Flow 3958: {5 71 0} 
Flow 3962: {29 5 0} 
Flow 3976: {12 9 0} 
Flow 3977: {12 10 0} 
Flow 3998: {12 31 0} 
Flow 4014: {47 185 0} 
Flow 4062: {95 233 0} 
Flow 4074: {5 107 0} 
Flow 4083: {11 116 0} 
Flow 4088: {95 121 0} 
Flow 4102: {30 12 0} 
Flow 4130: {31 12 0} 
Flow 4135: {12 30 0} 
Flow 4137: {31 5 0} 
Flow 4142: {38 33 0} 
Flow 4177: {31 2 0} 
Flow 4190: {31 3 0} 
Flow 4192: {9 87 0} 
Flow 4196: {9 117 0} 
Flow 4244: {5 1 0} 
Flow 4255: {32 12 0} 
Flow 4271: {2 28 0} 
Flow 4272: {32 5 0} 
Flow 4274: {5 31 0} 
Flow 4291: {67 48 0} 
Flow 4311: {43 68 0} 
Flow 4315: {71 72 0} 
Flow 4340: {97 235 0} 
Flow 4345: {5 102 0} 
Flow 4351: {32 2 0} 
Flow 4391: {33 15 0} 
Flow 4416: {33 35 0} 
Flow 4427: {67 46 0} 
Flow 4432: {53 51 0} 
Flow 4462: {22 122 0} 
Flow 4501: {15 34 0} 
Flow 4504: {37 53 0} 
Flow 4619: {22 73 0} 
Flow 4646: {136 274 0} 
Flow 4665: {35 16 0} 
Flow 4685: {35 33 0} 
Flow 4697: {35 34 0} 
Flow 4706: {58 196 0} 
Flow 4746: {35 98 0} 
Flow 4753: {35 21 0} 
Flow 4763: {11 115 0} 
Flow 4768: {91 120 0} 
Flow 4789: {36 16 0} 
Flow 4794: {9 147 0} 
Flow 4839: {55 193 0} 
Flow 4860: {60 8 0} 
Flow 4878: {73 97 0} 
Flow 4917: {54 136 0} 
Flow 4918: {36 33 0} 
Flow 4942: {60 92 0} 
Flow 4957: {38 176 0} 
Flow 5040: {37 60 0} 
Flow 5053: {37 54 0} 
Flow 5213: {21 35 0} 
Flow 5235: {39 40 0} 
Flow 5236: {39 41 0} 
Flow 5237: {39 42 0} 
Flow 5239: {43 44 0} 
Flow 5244: {39 43 0} 
Flow 5308: {43 58 0} 
Flow 5319: {38 61 0} 
Flow 5324: {129 267 0} 
Flow 5372: {40 39 0} 
Flow 5377: {40 44 0} 
Flow 5424: {40 58 0} 
Flow 5466: {40 67 0} 
Flow 5496: {25 163 0} 
Flow 5498: {27 165 0} 
Flow 5510: {41 39 0} 
Flow 5525: {70 54 0} 
Flow 5552: {41 67 0} 
Flow 5568: {67 73 0} 
Flow 5584: {41 58 0} 
Flow 5591: {96 120 0} 
Flow 5648: {42 39 0} 
Flow 5653: {42 44 0} 
Flow 5703: {19 20 0} 
Flow 5740: {42 60 0} 
Flow 5741: {42 58 0} 
Flow 5746: {42 67 0} 
Flow 5766: {19 157 0} 
Flow 5809: {43 62 0} 
Flow 5855: {108 246 0} 
Flow 5911: {71 26 0} 
Flow 5925: {44 40 0} 
Flow 5927: {44 42 0} 
Flow 5930: {44 45 0} 
Flow 5942: {45 57 0} 
Flow 5947: {44 47 0} 
Flow 5951: {44 43 0} 
Flow 6002: {44 48 0} 
Flow 6003: {48 58 0} 
Flow 6015: {67 21 0} 
Flow 6033: {45 67 0} 
Flow 6047: {21 19 0} 
Flow 6062: {43 39 0} 
Flow 6062: {45 56 0} 
Flow 6063: {67 40 0} 
Flow 6069: {44 46 0} 
Flow 6174: {3 13 0} 
Flow 6199: {46 67 0} 
Flow 6206: {46 44 0} 
Flow 6238: {46 58 0} 
Flow 6264: {103 241 0} 
Flow 6313: {21 15 0} 
Flow 6330: {31 169 0} 
Flow 6336: {37 175 0} 
Flow 6340: {44 41 0} 
Flow 6343: {47 44 0} 
Flow 6396: {47 62 0} 
Flow 6401: {11 102 0} 
Flow 6405: {62 58 0} 
Flow 6436: {47 56 0} 
Flow 6460: {92 23 0} 
Flow 6462: {48 67 0} 
Flow 6505: {48 44 0} 
Flow 6509: {21 121 0} 
Flow 6521: {84 222 0} 
Flow 6525: {121 88 0} 
Flow 6529: {58 118 0} 
Flow 6597: {22 160 0} 
Flow 6611: {33 36 0} 
Flow 6619: {50 37 0} 
Flow 6629: {49 51 0} 
Flow 6653: {49 50 0} 
Flow 6680: {71 27 0} 
Flow 6707: {33 38 0} 
Flow 6729: {37 16 0} 
Flow 6762: {50 49 0} 
Flow 6765: {50 52 0} 
Flow 6768: {37 55 0} 
Flow 6776: {53 61 0} 
Flow 6784: {37 33 0} 
Flow 6839: {50 53 0} 
Flow 6848: {134 135 0} 
Flow 6850: {137 275 0} 
Flow 6899: {48 186 0} 
Flow 6933: {82 220 0} 
Flow 6950: {99 237 0} 
Flow 6976: {126 125 0} 
Flow 7017: {52 16 0} 
Flow 7026: {52 55 0} 
Flow 7031: {67 42 0} 
Flow 7038: {52 50 0} 
Flow 7053: {55 64 0} 
Flow 7066: {67 59 0} 
Flow 7087: {16 15 0} 
Flow 7107: {16 38 0} 
Flow 7115: {52 53 0} 
Flow 7138: {11 149 0} 
Flow 7144: {33 17 0} 
Flow 7145: {18 156 0} 
Flow 7157: {8 12 0} 
Flow 7183: {53 70 0} 
Flow 7191: {51 65 0} 
Flow 7192: {61 66 0} 
Flow 7247: {122 260 0} 
Flow 7279: {54 52 0} 
Flow 7315: {52 190 0} 
Flow 7328: {54 65 0} 
Flow 7332: {54 53 0} 
Flow 7347: {11 84 0} 
Flow 7348: {54 70 0} 
Flow 7364: {54 134 0} 
Flow 7388: {137 126 0} 
Flow 7393: {121 130 0} 
Flow 7401: {54 138 0} 
Flow 7419: {15 18 0} 
Flow 7430: {71 5 0} 
Flow 7442: {67 41 0} 
Flow 7448: {56 47 0} 
Flow 7451: {55 37 0} 
Flow 7453: {55 52 0} 
Flow 7462: {55 63 0} 
Flow 7463: {62 200 0} 
Flow 7466: {55 65 0} 
Flow 7467: {55 66 0} 
Flow 7485: {55 38 0} 
Flow 7507: {106 244 0} 
Flow 7518: {73 118 0} 
Flow 7527: {54 137 0} 
Flow 7613: {74 212 0} 
Flow 7618: {77 79 0} 
Flow 7639: {56 43 0} 
Flow 7686: {71 9 0} 
Flow 7736: {59 197 0} 
Flow 7739: {57 62 0} 
Flow 7745: {57 45 0} 
Flow 7745: {45 68 0} 
Flow 7757: {77 80 0} 
Flow 7806: {21 22 0} 
Flow 7876: {61 199 0} 
Flow 7948: {21 133 0} 
Flow 8015: {59 62 0} 
Flow 8057: {59 56 0} 
Flow 8075: {59 67 0} 
Flow 8085: {59 132 0} 
Flow 8092: {8 1 0} 
Flow 8098: {60 7 0} 
Flow 8101: {60 10 0} 
Flow 8108: {15 17 0} 
Flow 8113: {60 22 0} 
Flow 8214: {34 70 0} 
Flow 8219: {34 61 0} 
Flow 8223: {67 132 0} 
Flow 8237: {61 34 0} 
Flow 8243: {16 14 0} 
Flow 8308: {8 79 0} 
Flow 8408: {62 43 0} 
Flow 8409: {62 47 0} 
Flow 8423: {62 59 0} 
Flow 8432: {47 68 0} 
Flow 8476: {114 252 0} 
Flow 8541: {41 179 0} 
Flow 8555: {63 55 0} 
Flow 8570: {64 70 0} 
Flow 8585: {63 61 0} 
Flow 8587: {87 225 0} 
Flow 8609: {2 109 0} 
Flow 8609: {61 38 0} 
Flow 8645: {95 7 0} 
Flow 8716: {82 83 0} 
Flow 8718: {64 34 0} 
Flow 8721: {122 88 0} 
Flow 8723: {122 90 0} 
Flow 8729: {96 234 0} 
Flow 8738: {27 105 0} 
Flow 8745: {112 250 0} 
Flow 8835: {61 64 0} 
Flow 8841: {65 61 0} 
Flow 8963: {65 54 0} 
Flow 8964: {66 55 0} 
Flow 8972: {66 61 0} 
Flow 8973: {66 100 0} 
Flow 8998: {122 89 0} 
Flow 9023: {66 38 0} 
Flow 9048: {2 1 0} 
Flow 9081: {34 172 0} 
Flow 9109: {67 58 0} 
Flow 9140: {19 24 0} 
Flow 9172: {125 263 0} 
Flow 9195: {68 47 0} 
Flow 9223: {68 43 0} 
Flow 9224: {45 44 0} 
Flow 9226: {68 46 0} 
Flow 9237: {62 57 0} 
Flow 9264: {68 45 0} 
Flow 9317: {6 144 0} 
Flow 9353: {42 180 0} 
Flow 9365: {53 54 0} 
Flow 9401: {69 34 0} 
Flow 9411: {69 53 0} 
Flow 9422: {11 111 0} 
Flow 9427: {8 116 0} 
Flow 9443: {132 270 0} 
Flow 9465: {16 154 0} 
Flow 9477: {28 166 0} 
Flow 9504: {64 55 0} 
Flow 9513: {70 64 0} 
Flow 9539: {121 90 0} 
