Number of groups: 856
Flow 15: {34 15 0} 
Flow 50: {53 50 0} 
Flow 66: {38 66 0} 
Flow 105: {1 4 0} 
Flow 118: {1 7 0} 
Flow 118: {7 118 0} 
Flow 174: {36 174 0} 
Flow 300: {91 24 0} 
Flow 311: {21 35 0} 
Flow 314: {71 73 0} 
Flow 320: {44 182 0} 
Flow 336: {1 8 0} 
Flow 349: {3 71 0} 
Flow 354: {3 11 0} 
Flow 356: {9 87 0} 
Flow 373: {3 1 0} 
Flow 385: {3 109 0} 
Flow 396: {9 117 0} 
Flow 432: {1 9 0} 
Flow 442: {3 28 0} 
Flow 455: {4 11 0} 
Flow 545: {95 131 0} 
Flow 618: {22 38 0} 
Flow 648: {73 96 0} 
Flow 699: {6 1 0} 
Flow 700: {1 10 0} 
Flow 713: {95 92 0} 
Flow 720: {9 12 0} 
Flow 722: {1 5 0} 
Flow 766: {11 86 0} 
Flow 775: {85 223 0} 
Flow 783: {94 93 0} 
Flow 786: {117 96 0} 
Flow 800: {1 2 0} 
Flow 806: {9 116 0} 
Flow 818: {128 266 0} 
Flow 819: {129 267 0} 
Flow 832: {7 1 0} 
Flow 834: {6 144 0} 
Flow 841: {7 13 0} 
Flow 869: {41 179 0} 
Flow 888: {7 60 0} 
Flow 898: {70 208 0} 
Flow 918: {74 90 0} 
Flow 921: {93 231 0} 
Flow 928: {34 100 0} 
Flow 931: {103 241 0} 
Flow 974: {8 1 0} 
Flow 981: {16 154 0} 
Flow 1068: {8 71 0} 
Flow 1134: {53 37 0} 
Flow 1157: {9 60 0} 
Flow 1165: {9 71 0} 
Flow 1176: {9 79 0} 
Flow 1179: {74 82 0} 
Flow 1218: {121 259 0} 
Flow 1265: {10 12 0} 
Flow 1292: {56 57 0} 
Flow 1292: {57 195 0} 
Flow 1295: {10 60 0} 
Flow 1297: {10 71 0} 
Flow 1299: {10 95 0} 
Flow 1351: {10 116 0} 
Flow 1399: {71 26 0} 
Flow 1405: {5 32 0} 
Flow 1448: {11 75 0} 
Flow 1467: {58 118 0} 
Flow 1493: {118 91 0} 
Flow 1493: {91 120 0} 
Flow 1514: {12 31 0} 
Flow 1518: {12 27 0} 
Flow 1543: {12 32 0} 
Flow 1598: {87 225 0} 
Flow 1620: {5 109 0} 
Flow 1631: {8 117 0} 
Flow 1656: {13 7 0} 
Flow 1658: {13 9 0} 
Flow 1659: {13 10 0} 
Flow 1674: {71 25 0} 
Flow 1680: {3 31 0} 
Flow 1685: {13 8 0} 
Flow 1690: {67 41 0} 
Flow 1706: {13 4 0} 
Flow 1740: {117 91 0} 
Flow 1751: {3 102 0} 
Flow 1767: {13 3 0} 
Flow 1807: {22 20 0} 
Flow 1816: {15 34 0} 
Flow 1823: {14 16 0} 
