Number of groups: 753
Flow 1: {1 2 0} 
Flow 3: {1 5 0} 
Flow 85: {2 32 0} 
Flow 102: {61 199 0} 
Flow 125: {71 74 0} 
Flow 147: {133 271 0} 
Flow 156: {1 7 0} 
Flow 168: {91 24 0} 
Flow 174: {28 12 0} 
Flow 183: {3 71 0} 
Flow 215: {9 79 0} 
Flow 221: {9 87 0} 
Flow 226: {1 8 0} 
Flow 240: {107 2 0} 
Flow 243: {3 11 0} 
Flow 260: {3 1 0} 
Flow 278: {34 18 0} 
Flow 283: {9 117 0} 
Flow 289: {4 11 0} 
Flow 300: {49 187 0} 
Flow 311: {9 95 0} 
Flow 327: {4 1 0} 
Flow 365: {7 1 0} 
Flow 368: {7 71 0} 
Flow 418: {7 79 0} 
Flow 452: {120 258 0} 
Flow 459: {95 131 0} 
Flow 463: {136 274 0} 
Flow 484: {27 165 0} 
Flow 490: {38 33 0} 
Flow 508: {54 192 0} 
Flow 509: {38 55 0} 
Flow 514: {67 58 0} 
Flow 516: {34 64 0} 
Flow 540: {117 96 0} 
Flow 541: {117 97 0} 
Flow 551: {8 71 0} 
Flow 581: {9 71 0} 
Flow 590: {95 92 0} 
Flow 592: {3 28 0} 
Flow 594: {9 12 0} 
Flow 626: {3 109 0} 
Flow 631: {9 116 0} 
Flow 643: {10 12 0} 
Flow 645: {10 95 0} 
Flow 656: {10 116 0} 
Flow 689: {11 58 0} 
Flow 703: {38 61 0} 
Flow 704: {71 73 0} 
Flow 733: {57 104 0} 
Flow 827: {12 27 0} 
Flow 835: {100 238 0} 
Flow 840: {25 105 0} 
Flow 854: {8 117 0} 
Flow 868: {12 8 0} 
Flow 874: {13 7 0} 
Flow 876: {13 9 0} 
Flow 897: {16 36 0} 
Flow 906: {13 4 0} 
Flow 943: {94 93 0} 
Flow 947: {34 98 0} 
Flow 951: {3 102 0} 
Flow 957: {13 3 0} 
Flow 960: {11 111 0} 
Flow 982: {13 8 0} 
Flow 1005: {2 31 0} 
Flow 1048: {121 90 0} 
Flow 1060: {15 21 0} 
