Number of groups: 856
Flow 4: {1 5} 
Flow 11: {9 12} 
Flow 22: {95 92} 
Flow 43: {3 71} 
Flow 102: {1 2} 
Flow 108: {3 109} 
Flow 149: {107 3} 
Flow 150: {16 14} 
Flow 221: {71 7} 
Flow 225: {74 89} 
Flow 280: {1 7} 
Flow 285: {3 28} 
Flow 309: {36 174} 
Flow 327: {70 54} 
Flow 349: {3 11} 
Flow 361: {88 226} 
Flow 387: {11 114} 
Flow 404: {95 131} 
Flow 437: {4 12} 
Flow 446: {1 9} 
Flow 446: {95 34} 
Flow 454: {48 44} 
Flow 463: {53 191} 
Flow 472: {11 58} 
Flow 497: {9 87} 
Flow 581: {5 71} 
Flow 602: {38 55} 
Flow 638: {117 91} 
Flow 658: {5 11} 
Flow 670: {123 261} 
Flow 779: {95 233} 
Flow 802: {7 118} 
Flow 810: {6 1} 
Flow 829: {8 146} 
Flow 834: {7 13} 
Flow 860: {43 39} 
Flow 881: {7 60} 
Flow 906: {7 87} 
Flow 937: {7 116} 
Flow 937: {116 254} 
Flow 995: {60 37} 
Flow 998: {8 71} 
Flow 999: {41 179} 
Flow 1062: {56 57} 
Flow 1091: {21 133} 
Flow 1098: {2 140} 
Flow 1101: {5 143} 
Flow 1105: {1 10} 
Flow 1108: {9 13} 
Flow 1140: {67 45} 
Flow 1142: {9 71} 
Flow 1155: {9 60} 
Flow 1174: {9 79} 
Flow 1189: {95 94} 
Flow 1212: {9 117} 
Flow 1242: {10 1} 
Flow 1253: {71 67} 
Flow 1255: {91 23} 
Flow 1262: {10 12} 
Flow 1292: {10 60} 
Flow 1326: {96 94} 
Flow 1329: {97 235} 
Flow 1348: {10 116} 
Flow 1356: {10 95} 
Flow 1389: {19 20} 
Flow 1409: {58 40} 
Flow 1412: {43 181} 
Flow 1449: {77 80} 
Flow 1488: {58 118} 
Flow 1533: {12 27} 
Flow 1538: {12 32} 
Flow 1553: {4 11} 
Flow 1558: {52 190} 
Flow 1564: {58 196} 
Flow 1603: {117 97} 
Flow 1620: {12 4} 
Flow 1626: {120 258} 
Flow 1628: {74 122} 
Flow 1635: {121 129} 
Flow 1636: {130 268} 
Flow 1651: {13 7} 
Flow 1653: {13 9} 
Flow 1654: {13 10} 
Flow 1658: {13 8} 
Flow 1661: {8 95} 
Flow 1665: {13 3} 
Flow 1674: {3 31} 
Flow 1715: {72 210} 
Flow 1742: {60 99} 
Flow 1745: {3 102} 
Flow 1753: {3 107} 
Flow 1757: {13 4} 
Flow 1788: {14 15} 
Flow 1807: {27 165} 
Flow 1815: {14 18} 
Flow 1853: {14 16} 
Flow 1864: {11 84} 
Flow 1932: {14 152} 
Flow 1972: {37 55} 
Flow 1992: {75 213} 
Flow 2020: {34 38} 
Flow 2030: {15 21} 
Flow 2046: {22 129} 
Flow 2048: {15 34} 
Flow 2070: {16 15} 
Flow 2074: {22 20} 
Flow 2085: {2 31} 
Flow 2089: {16 35} 
Flow 2091: {16 37} 
Flow 2152: {15 98} 
Flow 2187: {22 133} 
Flow 2209: {17 14} 
Flow 2221: {17 15} 
Flow 2253: {17 16} 
Flow 2281: {122 90} 
Flow 2328: {17 33} 
Flow 2346: {14 17} 
Flow 2350: {18 34} 
Flow 2372: {18 35} 
Flow 2378: {15 33} 
Flow 2421: {94 93} 
Flow 2426: {18 15} 
Flow 2427: {99 237} 
Flow 2445: {60 91} 
Flow 2488: {19 23} 
Flow 2500: {21 35} 
Flow 2529: {19 22} 
Flow 2543: {19 21} 
Flow 2548: {83 221} 
Flow 2587: {121 122} 
Flow 2600: {101 135} 
Flow 2606: {20 22} 
Flow 2618: {15 153} 
Flow 2620: {16 17} 
Flow 2632: {71 8} 
Flow 2680: {78 216} 
Flow 2699: {94 97} 
Flow 2834: {21 121} 
Flow 2859: {21 118} 
Flow 2936: {22 60} 
Flow 2956: {87 80} 
Flow 3003: {127 265} 
Flow 3023: {95 9} 
Flow 3033: {23 19} 
Flow 3061: {67 48} 
Flow 3092: {23 92} 
Flow 3106: {23 93} 
Flow 3132: {23 91} 
Flow 3146: {133 271} 
Flow 3160: {117 9} 
Flow 3179: {24 91} 
Flow 3199: {51 49} 
Flow 3211: {38 61} 
Flow 3218: {43 68} 
Flow 3255: {114 105} 
Flow 3256: {24 19} 
Flow 3280: {24 92} 
Flow 3280: {122 130} 
Flow 3314: {25 12} 
Flow 3331: {25 71} 
Flow 3350: {61 63} 
Flow 3394: {107 245} 
Flow 3450: {26 12} 
Flow 3470: {26 71} 
Flow 3481: {43 56} 
Flow 3484: {60 198} 
Flow 3500: {76 214} 
Flow 3509: {85 223} 
Flow 3529: {26 105} 
Flow 3532: {108 246} 
Flow 3538: {114 252} 
Flow 3590: {12 29} 
Flow 3591: {27 12} 
Flow 3612: {51 189} 
Flow 3658: {7 117} 
Flow 3700: {28 3} 
Flow 3727: {2 29} 
Flow 3753: {55 193} 
Flow 3779: {81 219} 
Flow 3800: {28 2} 
Flow 3838: {29 2} 
Flow 3842: {5 1} 
Flow 3845: {9 147} 
Flow 3862: {12 26} 
Flow 3866: {12 31} 
Flow 3926: {8 117} 
Flow 3934: {29 12} 
Flow 3937: {5 102} 
Flow 3982: {12 9} 
Flow 3983: {12 10} 
Flow 3986: {12 8} 
Flow 4052: {8 87} 
Flow 4060: {95 121} 
Flow 4065: {8 60} 
Flow 4077: {25 105} 
Flow 4079: {29 5} 
Flow 4079: {5 107} 
Flow 4080: {12 28} 
Flow 4081: {5 109} 
Flow 4108: {30 12} 
Flow 4118: {1 8} 
Flow 4129: {31 2} 
Flow 4135: {12 25} 
Flow 4137: {31 12} 
Flow 4138: {31 3} 
Flow 4141: {31 5} 
Flow 4198: {89 227} 
Flow 4240: {122 131} 
Flow 4259: {32 12} 
Flow 4266: {19 157} 
Flow 4278: {5 31} 
Flow 4296: {37 50} 
Flow 4332: {32 5} 
Flow 4356: {32 2} 
Flow 4372: {70 51} 
Flow 4376: {121 130} 
Flow 4378: {67 132} 
Flow 4435: {55 52} 
Flow 4482: {34 99} 
Flow 4484: {33 15} 
Flow 4509: {54 137} 
Flow 4518: {54 134} 
Flow 4519: {33 37} 
Flow 4519: {54 136} 
Flow 4524: {1 3} 
Flow 4648: {34 61} 
Flow 4672: {18 14} 
Flow 4691: {35 33} 
Flow 4702: {35 21} 
Flow 4706: {49 187} 
Flow 4709: {35 16} 
Flow 4755: {35 98} 
Flow 4766: {2 109} 
Flow 4777: {35 34} 
Flow 4814: {22 19} 
Flow 4819: {24 162} 
Flow 4833: {39 177} 
Flow 4842: {48 186} 
Flow 4850: {36 16} 
Flow 4875: {122 82} 
Flow 4899: {27 105} 
Flow 4920: {126 264} 
Flow 4930: {36 33} 
Flow 4938: {8 1} 
Flow 4994: {55 63} 
Flow 5031: {37 53} 
Flow 5031: {70 100} 
Flow 5079: {95 10} 
Flow 5090: {21 159} 
Flow 5096: {71 27} 
Flow 5107: {21 67} 
Flow 5124: {56 194} 
Flow 5156: {122 88} 
Flow 5236: {39 43} 
Flow 5245: {39 40} 
Flow 5246: {39 41} 
Flow 5247: {39 42} 
Flow 5249: {43 44} 
Flow 5251: {67 46} 
Flow 5341: {51 136} 
Flow 5355: {11 4} 
Flow 5369: {67 71} 
Flow 5382: {40 39} 
Flow 5383: {67 41} 
Flow 5386: {40 44} 
Flow 5404: {40 58} 
Flow 5408: {38 66} 
Flow 5410: {46 68} 
Flow 5411: {40 67} 
Flow 5443: {101 239} 
Flow 5469: {65 127} 
Flow 5512: {5 32} 
Flow 5519: {41 39} 
Flow 5520: {41 67} 
Flow 5597: {41 58} 
Flow 5602: {64 123} 
Flow 5626: {71 9} 
Flow 5656: {42 39} 
Flow 5660: {42 44} 
Flow 5674: {42 58} 
Flow 5708: {42 60} 
Flow 5711: {42 67} 
Flow 5765: {43 58} 
Flow 5815: {43 62} 
Flow 5853: {38 64} 
Flow 5889: {38 34} 
Flow 5930: {44 43} 
Flow 5931: {44 40} 
Flow 5933: {44 42} 
Flow 5986: {67 73} 
Flow 5994: {44 45} 
Flow 6007: {44 48} 
Flow 6040: {12 150} 
Flow 6050: {22 160} 
Flow 6072: {45 44} 
Flow 6073: {44 46} 
Flow 6089: {57 62} 
Flow 6095: {45 68} 
Flow 6131: {45 57} 
Flow 6138: {11 111} 
Flow 6138: {45 56} 
Flow 6151: {128 125} 
Flow 6158: {45 67} 
Flow 6171: {2 1} 
Flow 6179: {21 15} 
Flow 6202: {46 67} 
Flow 6210: {46 44} 
Flow 6255: {91 229} 
Flow 6257: {24 93} 
Flow 6268: {46 58} 
Flow 6272: {2 108} 
Flow 6273: {71 2} 
Flow 6283: {118 91} 
Flow 6303: {1 139} 
Flow 6317: {47 56} 
Flow 6343: {47 44} 
Flow 6348: {47 68} 
Flow 6352: {56 43} 
Flow 6393: {62 58} 
Flow 6446: {48 67} 
Flow 6486: {44 47} 
Flow 6558: {48 58} 
Flow 6564: {137 126} 
Flow 6589: {51 70} 
Flow 6593: {17 155} 
Flow 6611: {33 35} 
Flow 6618: {49 50} 
Flow 6676: {51 101} 
Flow 6700: {126 125} 
Flow 6706: {49 51} 
Flow 6717: {9 1} 
Flow 6729: {37 16} 
Flow 6731: {15 18} 
Flow 6744: {33 38} 
Flow 6764: {50 52} 
Flow 6789: {79 77} 
Flow 6796: {50 37} 
Flow 6801: {60 121} 
Flow 6817: {37 33} 
Flow 6831: {60 119} 
Flow 6843: {50 53} 
Flow 6844: {132 270} 
Flow 6886: {33 36} 
Flow 6954: {22 73} 
Flow 7037: {52 50} 
Flow 7049: {52 55} 
Flow 7058: {122 72} 
Flow 7075: {52 16} 
Flow 7118: {16 38} 
Flow 7121: {52 54} 
Flow 7122: {52 53} 
Flow 7141: {33 17} 
Flow 7161: {53 37} 
Flow 7193: {70 208} 
Flow 7213: {121 90} 
Flow 7220: {92 97} 
Flow 7253: {53 70} 
Flow 7273: {54 70} 
Flow 7296: {35 173} 
Flow 7326: {54 65} 
Flow 7329: {54 53} 
Flow 7340: {80 218} 
Flow 7349: {121 89} 
Flow 7354: {70 34} 
Flow 7375: {115 253} 
Flow 7398: {54 138} 
Flow 7411: {37 60} 
Flow 7435: {55 37} 
Flow 7461: {55 64} 
Flow 7463: {55 66} 
Flow 7472: {55 38} 
Flow 7475: {86 78} 
Flow 7493: {96 234} 
Flow 7522: {55 65} 
Flow 7533: {37 54} 
Flow 7631: {118 117} 
Flow 7639: {58 11} 
Flow 7659: {61 65} 
Flow 7669: {43 67} 
Flow 7678: {4 1} 
Flow 7684: {57 56} 
Flow 7725: {70 53} 
Flow 7767: {73 96} 
Flow 7829: {58 67} 
Flow 7833: {21 19} 
Flow 7851: {42 180} 
Flow 7853: {44 182} 
Flow 7877: {118 60} 
Flow 8007: {59 62} 
Flow 8035: {90 228} 
Flow 8049: {59 56} 
