OKAY
Number of groups: 681
Flow 19: {19 44 0} 
Flow 33: {2 138 0} 
Flow 55: {2 31 0} 
Flow 84: {1 4 0} 
Flow 87: {2 139 0} 
Flow 128: {2 63 0} 
Flow 130: {65 66 0} 
Flow 133: {70 231 0} 
Flow 138: {2 76 0} 
Flow 150: {93 254 0} 
Flow 154: {2 32 0} 
Flow 183: {153 314 0} 
Flow 190: {3 7 0} 
Flow 194: {14 175 0} 
Flow 210: {3 53 0} 
Flow 214: {3 62 0} 
Flow 218: {3 1 0} 
Flow 230: {34 26 0} 
Flow 234: {1 2 0} 
Flow 256: {4 1 0} 
Flow 256: {1 3 0} 
Flow 258: {4 7 0} 
Flow 271: {4 68 0} 
Flow 271: {29 27 0} 
Flow 287: {2 52 0} 
Flow 292: {18 57 0} 
Flow 325: {7 2 0} 
Flow 356: {4 53 0} 
Flow 378: {46 49 0} 
Flow 384: {5 6 0} 
Flow 400: {5 7 0} 
Flow 440: {44 45 0} 
Flow 446: {26 52 0} 
Flow 496: {9 54 0} 
Flow 515: {150 311 0} 
Flow 519: {19 155 0} 
Flow 536: {30 33 0} 
Flow 558: {19 71 0} 
Flow 585: {25 145 0} 
Flow 610: {11 10 0} 
Flow 637: {11 135 0} 
Flow 648: {11 26 0} 
Flow 658: {12 20 0} 
Flow 672: {18 154 0} 
Flow 686: {10 8 0} 
Flow 689: {20 22 0} 
Flow 717: {10 12 0} 
Flow 727: {79 240 0} 
Flow 763: {135 296 0} 
Flow 770: {149 310 0} 
Flow 804: {8 9 0} 
Flow 815: {14 16 0} 
Flow 865: {64 74 0} 
Flow 866: {16 21 0} 
Flow 891: {17 19 0} 
Flow 952: {134 133 0} 
Flow 968: {146 25 0} 
Flow 988: {22 146 0} 
Flow 1013: {139 300 0} 
Flow 1015: {2 142 0} 
Flow 1031: {21 16 0} 
Flow 1039: {2 33 0} 
Flow 1041: {41 202 0} 
Flow 1042: {146 26 0} 
Flow 1111: {24 13 0} 
Flow 1112: {23 24 0} 
Flow 1116: {69 68 0} 
Flow 1147: {18 82 0} 
Flow 1164: {23 16 0} 
Flow 1172: {81 125 0} 
Flow 1180: {23 20 0} 
Flow 1198: {10 13 0} 
Flow 1223: {34 62 0} 
Flow 1232: {53 70 0} 
Flow 1236: {18 79 0} 
Flow 1247: {96 257 0} 
Flow 1266: {99 32 0} 
Flow 1281: {66 68 0} 
Flow 1310: {66 75 0} 
Flow 1320: {27 28 0} 
Flow 1325: {27 29 0} 
Flow 1326: {75 236 0} 
Flow 1367: {29 66 0} 
Flow 1371: {151 312 0} 
Flow 1406: {140 62 0} 
Flow 1421: {18 83 0} 
Flow 1448: {39 139 0} 
Flow 1451: {67 65 0} 
Flow 1452: {28 67 0} 
Flow 1490: {40 52 0} 
Flow 1510: {30 36 0} 
Flow 1522: {30 34 0} 
Flow 1541: {26 118 0} 
Flow 1541: {118 279 0} 
Flow 1544: {110 123 0} 
Flow 1547: {94 131 0} 
Flow 1564: {30 39 0} 
Flow 1662: {32 30 0} 
Flow 1672: {32 2 0} 
Flow 1720: {114 116 0} 
Flow 1745: {3 164 0} 
Flow 1767: {138 62 0} 
Flow 1769: {33 2 0} 
Flow 1775: {77 238 0} 
Flow 1784: {33 30 0} 
Flow 1829: {30 31 0} 
Flow 1833: {31 48 0} 
Flow 1854: {35 64 0} 
Flow 1890: {35 30 0} 
Flow 1897: {40 51 0} 
Flow 1901: {35 2 0} 
Flow 1941: {30 32 0} 
Flow 1957: {36 30 0} 
Flow 1978: {37 2 0} 
Flow 1979: {47 52 0} 
Flow 1998: {34 129 0} 
Flow 2007: {37 30 0} 
Flow 2013: {53 78 0} 
Flow 2016: {37 34 0} 
Flow 2038: {38 2 0} 
Flow 2043: {26 11 0} 
Flow 2058: {38 52 0} 
Flow 2083: {85 87 0} 
Flow 2090: {38 32 0} 
Flow 2099: {110 271 0} 
Flow 2100: {112 113 0} 
Flow 2102: {38 53 0} 
Flow 2152: {40 75 0} 
Flow 2215: {6 161 0} 
Flow 2216: {62 223 0} 
Flow 2234: {75 78 0} 
Flow 2234: {78 105 0} 
Flow 2241: {41 6 0} 
Flow 2293: {132 293 0} 
Flow 2298: {42 6 0} 
Flow 2310: {30 191 0} 
Flow 2326: {6 65 0} 
Flow 2348: {43 6 0} 
Flow 2357: {140 301 0} 
Flow 2361: {26 144 0} 
Flow 2365: {44 19 0} 
Flow 2369: {44 18 0} 
Flow 2374: {34 158 0} 
Flow 2380: {47 53 0} 
Flow 2484: {46 37 0} 
