OKAY
Number of groups: 761
Flow 3: {1 4 0} 
Flow 19: {65 67 0} 
Flow 40: {2 52 0} 
Flow 71: {2 127 0} 
Flow 118: {4 141 0} 
Flow 124: {1 2 0} 
Flow 124: {34 26 0} 
Flow 173: {38 46 0} 
Flow 217: {96 93 0} 
Flow 232: {26 110 0} 
Flow 279: {2 140 0} 
Flow 284: {3 7 0} 
Flow 303: {3 1 0} 
Flow 321: {3 53 0} 
Flow 324: {30 39 0} 
Flow 326: {3 62 0} 
Flow 402: {153 314 0} 
Flow 408: {2 75 0} 
Flow 420: {25 146 0} 
Flow 457: {2 70 0} 
Flow 468: {68 66 0} 
Flow 470: {4 68 0} 
Flow 488: {81 88 0} 
Flow 491: {4 7 0} 
Flow 544: {4 53 0} 
Flow 556: {4 1 0} 
Flow 560: {5 6 0} 
Flow 567: {5 7 0} 
Flow 612: {2 63 0} 
Flow 686: {26 144 0} 
Flow 743: {52 213 0} 
Flow 778: {92 253 0} 
Flow 812: {129 290 0} 
Flow 848: {11 172 0} 
Flow 894: {7 62 0} 
Flow 904: {72 233 0} 
Flow 955: {25 128 0} 
Flow 1052: {53 73 0} 
Flow 1053: {70 75 0} 
Flow 1108: {55 133 0} 
Flow 1136: {5 166 0} 
Flow 1160: {9 54 0} 
Flow 1187: {18 79 0} 
Flow 1214: {128 116 0} 
Flow 1222: {126 287 0} 
Flow 1223: {133 134 0} 
Flow 1231: {26 51 0} 
Flow 1315: {75 236 0} 
Flow 1334: {26 53 0} 
Flow 1357: {120 281 0} 
Flow 1379: {10 12 0} 
Flow 1386: {53 153 0} 
Flow 1393: {8 9 0} 
Flow 1412: {11 26 0} 
Flow 1455: {11 10 0} 
Flow 1494: {11 135 0} 
Flow 1549: {146 26 0} 
Flow 1620: {114 121 0} 
Flow 1623: {99 32 0} 
Flow 1652: {22 146 0} 
Flow 1676: {13 24 0} 
Flow 1729: {10 8 0} 
Flow 1750: {78 105 0} 
Flow 1817: {15 14 0} 
Flow 1868: {16 13 0} 
Flow 1874: {79 240 0} 
Flow 1916: {25 110 0} 
Flow 1934: {25 144 0} 
Flow 1939: {15 16 0} 
Flow 1970: {67 28 0} 
Flow 2006: {69 68 0} 
Flow 2025: {94 90 0} 
Flow 2065: {134 295 0} 
Flow 2087: {70 160 0} 
Flow 2177: {17 18 0} 
Flow 2212: {20 23 0} 
Flow 2390: {63 224 0} 
Flow 2394: {40 75 0} 
Flow 2410: {19 89 0} 
Flow 2410: {89 94 0} 
Flow 2451: {130 291 0} 
Flow 2499: {29 190 0} 
Flow 2528: {20 22 0} 
Flow 2560: {98 259 0} 
Flow 2615: {25 75 0} 
Flow 2623: {13 10 0} 
Flow 2625: {21 16 0} 
Flow 2627: {16 12 0} 
Flow 2634: {16 23 0} 
Flow 2636: {26 187 0} 
Flow 2710: {106 267 0} 
Flow 2725: {25 114 0} 
Flow 2736: {25 134 0} 
Flow 2751: {146 25 0} 
Flow 2770: {13 174 0} 
Flow 2886: {23 16 0} 
Flow 2889: {20 181 0} 
Flow 2903: {53 38 0} 
Flow 2906: {41 202 0} 
Flow 2919: {23 24 0} 
Flow 2977: {117 278 0} 
Flow 3016: {23 20 0} 
Flow 3018: {1 162 0} 
Flow 3036: {12 20 0} 
Flow 3057: {54 26 0} 
Flow 3068: {34 62 0} 
Flow 3087: {24 13 0} 
Flow 3100: {85 98 0} 
Flow 3109: {24 23 0} 
Flow 3283: {136 137 0} 
Flow 3316: {22 20 0} 
Flow 3355: {59 58 0} 
Flow 3451: {66 68 0} 
Flow 3470: {27 29 0} 
Flow 3483: {6 41 0} 
Flow 3488: {40 46 0} 
Flow 3491: {49 210 0} 
Flow 3507: {27 28 0} 
Flow 3539: {102 263 0} 
Flow 3552: {66 75 0} 
Flow 3625: {145 117 0} 
Flow 3629: {28 67 0} 
Flow 3684: {34 49 0} 
Flow 3724: {85 92 0} 
Flow 3738: {29 66 0} 
Flow 3790: {35 2 0} 
Flow 3808: {30 37 0} 
Flow 3814: {44 205 0} 
Flow 3825: {57 218 0} 
Flow 3867: {26 118 0} 
Flow 3881: {40 51 0} 
Flow 3896: {40 160 0} 
Flow 3901: {4 165 0} 
Flow 4023: {31 127 0} 
Flow 4036: {31 46 0} 
Flow 4049: {32 2 0} 
Flow 4076: {32 30 0} 
Flow 4077: {32 38 0} 
Flow 4110: {32 34 0} 
Flow 4232: {45 206 0} 
Flow 4254: {2 68 0} 
Flow 4332: {33 30 0} 
Flow 4337: {33 2 0} 
Flow 4385: {40 135 0} 
Flow 4493: {33 194 0} 
Flow 4519: {35 30 0} 
Flow 4546: {37 2 0} 
