Number of groups: 791
Flow 2: {1 3 0} 
Flow 151: {1 4 0} 
Flow 260: {102 101 0} 
Flow 281: {122 283 0} 
Flow 326: {3 7 0} 
Flow 344: {3 1 0} 
Flow 355: {36 197 0} 
Flow 372: {3 53 0} 
Flow 381: {3 62 0} 
Flow 382: {2 63 0} 
Flow 425: {1 2 0} 
Flow 483: {4 1 0} 
Flow 487: {8 169 0} 
Flow 492: {4 7 0} 
Flow 496: {17 178 0} 
Flow 508: {68 66 0} 
Flow 535: {4 53 0} 
Flow 546: {4 68 0} 
Flow 601: {7 2 0} 
Flow 612: {135 133 0} 
Flow 620: {4 141 0} 
Flow 686: {5 7 0} 
Flow 704: {5 6 0} 
Flow 776: {2 137 0} 
Flow 798: {159 320 0} 
Flow 820: {20 21 0} 
Flow 863: {6 64 0} 
Flow 866: {65 67 0} 
Flow 996: {2 37 0} 
Flow 998: {39 200 0} 
Flow 1107: {2 34 0} 
Flow 1114: {2 31 0} 
Flow 1161: {6 42 0} 
Flow 1181: {34 62 0} 
Flow 1192: {53 73 0} 
Flow 1231: {18 112 0} 
Flow 1263: {9 54 0} 
Flow 1271: {8 9 0} 
Flow 1385: {106 267 0} 
Flow 1443: {53 3 0} 
Flow 1444: {53 4 0} 
Flow 1466: {12 20 0} 
Flow 1507: {68 229 0} 
Flow 1614: {11 10 0} 
Flow 1659: {53 47 0} 
Flow 1664: {75 6 0} 
Flow 1672: {11 135 0} 
Flow 1693: {11 26 0} 
Flow 1697: {10 12 0} 
Flow 1727: {128 289 0} 
Flow 1777: {20 22 0} 
Flow 1869: {25 110 0} 
Flow 1980: {10 8 0} 
Flow 2028: {110 109 0} 
Flow 2051: {13 10 0} 
Flow 2051: {132 293 0} 
Flow 2092: {12 173 0} 
Flow 2094: {14 15 0} 
Flow 2102: {23 184 0} 
Flow 2103: {23 24 0} 
Flow 2112: {16 13 0} 
Flow 2117: {53 38 0} 
Flow 2128: {14 16 0} 
Flow 2129: {21 20 0} 
Flow 2140: {60 61 0} 
Flow 2141: {62 223 0} 
Flow 2198: {119 280 0} 
Flow 2209: {130 291 0} 
Flow 2221: {75 2 0} 
Flow 2233: {154 315 0} 
Flow 2234: {32 81 0} 
Flow 2254: {15 14 0} 
Flow 2301: {75 62 0} 
Flow 2330: {15 16 0} 
Flow 2347: {108 269 0} 
Flow 2348: {109 270 0} 
Flow 2412: {16 12 0} 
Flow 2465: {22 146 0} 
Flow 2536: {136 137 0} 
Flow 2576: {17 18 0} 
Flow 2645: {26 85 0} 
Flow 2690: {131 292 0} 
Flow 2714: {17 19 0} 
Flow 2724: {7 4 0} 
Flow 2741: {146 22 0} 
Flow 2754: {127 31 0} 
Flow 2764: {45 206 0} 
Flow 2782: {63 224 0} 
Flow 2936: {19 17 0} 
Flow 2983: {78 105 0} 
Flow 3004: {81 125 0} 
Flow 3074: {25 134 0} 
Flow 3123: {85 84 0} 
Flow 3150: {111 272 0} 
Flow 3168: {129 290 0} 
Flow 3211: {21 16 0} 
Flow 3223: {16 23 0} 
Flow 3234: {30 35 0} 
Flow 3399: {134 133 0} 
Flow 3411: {52 213 0} 
Flow 3465: {116 107 0} 
Flow 3470: {25 128 0} 
Flow 3477: {134 118 0} 
Flow 3550: {31 192 0} 
Flow 3579: {46 39 0} 
Flow 3635: {116 277 0} 
Flow 3669: {144 150 0} 
Flow 3670: {23 20 0} 
Flow 3701: {23 16 0} 
Flow 3703: {24 23 0} 
Flow 3729: {24 13 0} 
Flow 3751: {53 72 0} 
Flow 3752: {73 234 0} 
Flow 3760: {130 99 0} 
Flow 3798: {25 114 0} 
Flow 3809: {54 26 0} 
Flow 3888: {34 49 0} 
Flow 3922: {134 26 0} 
Flow 3935: {96 257 0} 
Flow 4060: {39 60 0} 
Flow 4136: {51 136 0} 
Flow 4174: {16 14 0} 
Flow 4187: {27 28 0} 
Flow 4221: {140 62 0} 
Flow 4229: {70 231 0} 
Flow 4256: {27 29 0} 
Flow 4324: {68 4 0} 
Flow 4368: {28 67 0} 
Flow 4379: {67 68 0} 
Flow 4472: {69 75 0} 
Flow 4482: {66 68 0} 
Flow 4546: {67 228 0} 
Flow 4548: {29 69 0} 
Flow 4565: {86 247 0} 
Flow 4594: {29 66 0} 
Flow 4596: {145 117 0} 
Flow 4757: {26 118 0} 
Flow 4796: {157 318 0} 
Flow 4806: {6 167 0} 
Flow 4822: {22 183 0} 
Flow 4871: {34 72 0} 
Flow 4936: {127 137 0} 
Flow 4969: {26 54 0} 
Flow 4988: {70 75 0} 
Flow 5072: {19 112 0} 
Flow 5149: {6 65 0} 
Flow 5151: {33 30 0} 
Flow 5162: {43 204 0} 
Flow 5183: {33 2 0} 
Flow 5195: {2 76 0} 
Flow 5208: {127 94 0} 
Flow 5275: {2 140 0} 
Flow 5276: {39 139 0} 
Flow 5345: {34 40 0} 
Flow 5398: {34 26 0} 
Flow 5443: {3 164 0} 
Flow 5463: {22 20 0} 
Flow 5496: {35 30 0} 
Flow 5513: {35 64 0} 
Flow 5515: {61 76 0} 
Flow 5516: {77 238 0} 
Flow 5518: {19 79 0} 
Flow 5543: {103 104 0} 
Flow 5610: {9 8 0} 
Flow 5659: {60 221 0} 
Flow 5686: {30 34 0} 
Flow 5704: {105 266 0} 
Flow 5705: {36 30 0} 
Flow 5767: {37 2 0} 
Flow 5822: {66 63 0} 
Flow 5830: {37 30 0} 
Flow 5864: {37 34 0} 
Flow 5963: {38 46 0} 
Flow 5971: {38 52 0} 
Flow 5980: {38 30 0} 
Flow 5985: {66 227 0} 
Flow 6018: {38 32 0} 
Flow 6033: {38 53 0} 
Flow 6039: {114 120 0} 
Flow 6055: {38 51 0} 
Flow 6103: {46 47 0} 
Flow 6129: {50 211 0} 
Flow 6135: {53 56 0} 
Flow 6137: {58 219 0} 
Flow 6153: {46 40 0} 
Flow 6155: {76 237 0} 
Flow 6193: {114 275 0} 
Flow 6212: {133 294 0} 
Flow 6217: {2 138 0} 
Flow 6237: {39 158 0} 
Flow 6388: {40 53 0} 
Flow 6418: {18 179 0} 
Flow 6428: {28 189 0} 
Flow 6433: {41 6 0} 
Flow 6435: {35 196 0} 
Flow 6482: {83 244 0} 
Flow 6537: {140 2 0} 
Flow 6547: {102 148 0} 
Flow 6567: {42 6 0} 
Flow 6620: {76 61 0} 
Flow 6627: {6 68 0} 
Flow 6734: {20 12 0} 
Flow 6746: {26 187 0} 
Flow 6790: {71 232 0} 
Flow 6801: {43 6 0} 
Flow 6907: {44 18 0} 
Flow 6916: {44 19 0} 
Flow 6942: {53 63 0} 
Flow 6979: {89 100 0} 
Flow 6988: {102 109 0} 
Flow 7028: {94 99 0} 
Flow 7117: {45 44 0} 
Flow 7216: {8 10 0} 
Flow 7284: {85 246 0} 
Flow 7321: {26 122 0} 
Flow 7322: {110 123 0} 
Flow 7323: {124 285 0} 
Flow 7335: {47 51 0} 
Flow 7398: {38 199 0} 
Flow 7424: {65 226 0} 
Flow 7548: {69 68 0} 
Flow 7571: {47 52 0} 
Flow 7620: {48 46 0} 
Flow 7664: {47 53 0} 
Flow 7684: {46 38 0} 
Flow 7729: {38 2 0} 
Flow 7767: {81 88 0} 
Flow 7789: {49 34 0} 
Flow 7834: {49 46 0} 
Flow 7879: {30 39 0} 
Flow 7891: {2 52 0} 
Flow 7937: {98 259 0} 
Flow 7986: {50 2 0} 
Flow 7988: {53 149 0} 
Flow 8014: {51 26 0} 
Flow 8071: {51 72 0} 
Flow 8100: {51 102 0} 
Flow 8167: {7 168 0} 
Flow 8198: {52 38 0} 
Flow 8212: {52 129 0} 
Flow 8219: {52 47 0} 
Flow 8221: {72 62 0} 
Flow 8223: {52 73 0} 
Flow 8226: {52 40 0} 
Flow 8231: {52 72 0} 
Flow 8233: {73 64 0} 
Flow 8261: {52 102 0} 
Flow 8262: {103 264 0} 
Flow 8305: {52 26 0} 
