OKAY
Number of groups: 501
Flow 66: {9 6 0} 
Flow 71: {72 96 0} 
Flow 143: {2 92 0} 
Flow 197: {6 7 0} 
Flow 220: {19 16 0} 
Flow 226: {4 50 0} 
Flow 247: {131 130 0} 
Flow 262: {7 8 0} 
Flow 320: {59 54 0} 
Flow 340: {5 6 0} 
Flow 354: {142 287 0} 
Flow 355: {9 1 0} 
Flow 362: {10 155 0} 
Flow 370: {1 11 0} 
Flow 386: {37 40 0} 
Flow 387: {42 187 0} 
Flow 398: {10 19 0} 
Flow 446: {104 249 0} 
Flow 463: {3 4 0} 
Flow 480: {50 49 0} 
Flow 484: {120 121 0} 
Flow 507: {54 53 0} 
Flow 594: {8 10 0} 
Flow 605: {96 88 0} 
Flow 716: {14 13 0} 
Flow 723: {6 3 0} 
Flow 738: {61 62 0} 
Flow 774: {109 254 0} 
Flow 816: {12 18 0} 
Flow 823: {6 9 0} 
Flow 862: {121 74 0} 
Flow 873: {86 231 0} 
Flow 879: {93 238 0} 
Flow 921: {10 20 0} 
Flow 979: {56 75 0} 
Flow 1013: {135 131 0} 
Flow 1050: {32 35 0} 
Flow 1052: {21 166 0} 
Flow 1145: {96 89 0} 
Flow 1156: {139 138 0} 
Flow 1233: {91 90 0} 
Flow 1247: {12 32 0} 
Flow 1259: {61 70 0} 
Flow 1261: {121 266 0} 
Flow 1263: {14 11 0} 
Flow 1280: {31 13 0} 
Flow 1297: {58 82 0} 
Flow 1324: {63 208 0} 
Flow 1342: {69 70 0} 
Flow 1353: {99 244 0} 
Flow 1366: {113 258 0} 
Flow 1385: {15 36 0} 
Flow 1396: {10 8 0} 
Flow 1422: {52 197 0} 
Flow 1446: {16 72 0} 
Flow 1463: {100 103 0} 
Flow 1492: {35 61 0} 
Flow 1496: {17 12 0} 
Flow 1508: {18 12 0} 
Flow 1514: {18 17 0} 
Flow 1581: {48 108 0} 
Flow 1613: {17 162 0} 
Flow 1625: {143 142 0} 
Flow 1657: {92 91 0} 
Flow 1721: {44 189 0} 
Flow 1727: {70 80 0} 
Flow 1787: {20 16 0} 
Flow 1836: {127 129 0} 
Flow 1865: {79 224 0} 
Flow 1952: {31 176 0} 
Flow 1954: {38 37 0} 
Flow 1989: {24 26 0} 
Flow 2033: {23 24 0} 
Flow 2192: {125 46 0} 
Flow 2199: {57 202 0} 
Flow 2239: {77 100 0} 
Flow 2364: {100 245 0} 
Flow 2372: {28 25 0} 
Flow 2402: {29 38 0} 
Flow 2406: {82 81 0} 
Flow 2430: {12 17 0} 
Flow 2438: {30 23 0} 
Flow 2444: {30 26 0} 
Flow 2478: {34 118 0} 
Flow 2498: {13 12 0} 
Flow 2504: {89 95 0} 
Flow 2512: {16 161 0} 
Flow 2527: {72 16 0} 
Flow 2602: {8 153 0} 
Flow 2640: {53 56 0} 
Flow 2649: {65 210 0} 
Flow 2653: {69 214 0} 
Flow 2674: {95 92 0} 
Flow 2697: {130 114 0} 
Flow 2716: {138 283 0} 
Flow 2778: {34 39 0} 
Flow 2779: {54 59 0} 
Flow 2788: {92 237 0} 
Flow 2810: {117 262 0} 
Flow 2816: {98 99 0} 
Flow 2839: {36 69 0} 
Flow 2851: {136 135 0} 
Flow 2905: {71 216 0} 
Flow 2925: {38 23 0} 
Flow 2940: {118 113 0} 
Flow 2956: {75 56 0} 
Flow 3013: {26 25 0} 
Flow 3027: {87 84 0} 
Flow 3038: {97 242 0} 
Flow 3052: {111 256 0} 
Flow 3059: {38 119 0} 
Flow 3067: {39 34 0} 
Flow 3080: {7 6 0} 
Flow 3081: {37 38 0} 
Flow 3108: {77 98 0} 
Flow 3120: {40 37 0} 
Flow 3121: {25 28 0} 
Flow 3127: {119 71 0} 
Flow 3188: {3 6 0} 
Flow 3189: {123 120 0} 
Flow 3196: {47 129 0} 
Flow 3204: {28 173 0} 
Flow 3235: {62 63 0} 
Flow 3247: {42 47 0} 
Flow 3252: {64 81 0} 
Flow 3332: {43 109 0} 
Flow 3346: {89 234 0} 
Flow 3474: {46 49 0} 
Flow 3540: {95 240 0} 
Flow 3562: {55 119 0} 
Flow 3567: {128 273 0} 
Flow 3601: {25 170 0} 
Flow 3616: {109 43 0} 
Flow 3645: {73 218 0} 
Flow 3654: {82 227 0} 
Flow 3691: {120 265 0} 
Flow 3695: {124 269 0} 
Flow 3705: {134 279 0} 
Flow 3709: {142 141 0} 
Flow 3717: {12 157 0} 
Flow 3741: {48 47 0} 
Flow 3755: {48 41 0} 
Flow 3767: {11 14 0} 
Flow 3767: {13 158 0} 
Flow 3769: {31 15 0} 
Flow 3802: {125 47 0} 
Flow 3804: {64 209 0} 
Flow 3832: {46 125 0} 
Flow 3841: {106 251 0} 
Flow 3849: {114 259 0} 
Flow 3851: {116 117 0} 
Flow 3855: {49 46 0} 
Flow 3993: {20 120 0} 
Flow 4007: {51 59 0} 
Flow 4030: {11 1 0} 
Flow 4030: {1 146 0} 
Flow 4146: {32 12 0} 
Flow 4155: {18 163 0} 
Flow 4163: {30 175 0} 
Flow 4166: {33 178 0} 
Flow 4180: {49 194 0} 
Flow 4229: {103 102 0} 
Flow 4242: {114 115 0} 
Flow 4328: {25 77 0} 
Flow 4329: {53 21 0} 
Flow 4347: {21 22 0} 
Flow 4355: {111 110 0} 
Flow 4368: {121 126 0} 
Flow 4477: {110 255 0} 
Flow 4498: {124 47 0} 
Flow 4504: {16 19 0} 
Flow 4522: {15 31 0} 
Flow 4530: {16 20 0} 
Flow 4557: {70 215 0} 
Flow 4566: {80 225 0} 
Flow 4602: {119 264 0} 
Flow 4653: {57 80 0} 
Flow 4689: {131 276 0} 
Flow 4740: {78 223 0} 
Flow 4858: {99 101 0} 
Flow 4884: {133 132 0} 
Flow 4889: {136 281 0} 
Flow 4914: {64 63 0} 
Flow 4940: {63 65 0} 
Flow 4974: {99 105 0} 
Flow 4995: {81 82 0} 
Flow 5012: {63 62 0} 
Flow 5050: {65 63 0} 
Flow 5054: {72 73 0} 
Flow 5063: {66 99 0} 
Flow 5063: {99 68 0} 
Flow 5075: {101 100 0} 
Flow 5081: {65 66 0} 
Flow 5108: {67 99 0} 
Flow 5179: {107 252 0} 
Flow 5210: {68 88 0} 
Flow 5216: {70 69 0} 
Flow 5225: {68 99 0} 
Flow 5225: {99 98 0} 
Flow 5228: {37 182 0} 
Flow 5237: {49 50 0} 
Flow 5245: {60 205 0} 
Flow 5257: {75 220 0} 
Flow 5265: {47 48 0} 
Flow 5334: {57 60 0} 
Flow 5366: {82 28 0} 
Flow 5366: {85 79 0} 
Flow 5392: {113 111 0} 
Flow 5432: {71 53 0} 
Flow 5491: {71 55 0} 
Flow 5502: {105 104 0} 
Flow 5560: {32 177 0} 
Flow 5563: {35 180 0} 
Flow 5615: {92 93 0} 
Flow 5717: {74 121 0} 
Flow 5733: {120 20 0} 
Flow 5746: {41 143 0} 
Flow 5768: {73 72 0} 
Flow 5772: {74 73 0} 
Flow 5787: {121 94 0} 
Flow 5802: {121 120 0} 
Flow 5805: {132 33 0} 
Flow 5828: {123 124 0} 
Flow 5844: {56 53 0} 
Flow 5860: {109 44 0} 
Flow 5900: {94 239 0} 
Flow 5912: {104 107 0} 
Flow 5927: {75 38 0} 
Flow 5963: {33 118 0} 
Flow 6067: {35 32 0} 
Flow 6133: {105 250 0} 
Flow 6194: {50 195 0} 
Flow 6216: {81 226 0} 
Flow 6252: {53 133 0} 
Flow 6265: {19 10 0} 
Flow 6287: {60 59 0} 
Flow 6304: {62 207 0} 
Flow 6362: {137 136 0} 
Flow 6419: {21 53 0} 
Flow 6504: {43 188 0} 
Flow 6505: {47 42 0} 
Flow 6531: {80 70 0} 
Flow 6546: {88 233 0} 
Flow 6595: {141 139 0} 
Flow 6678: {102 247 0} 
Flow 6706: {53 134 0} 
Flow 6715: {87 108 0} 
Flow 6724: {72 61 0} 
Flow 6744: {84 87 0} 
Flow 6781: {108 48 0} 
Flow 6802: {129 128 0} 
Flow 6816: {107 106 0} 
Flow 6834: {40 185 0} 
Flow 6840: {134 137 0} 
Flow 6851: {58 57 0} 
Flow 6851: {85 26 0} 
Flow 6874: {78 103 0} 
Flow 6874: {103 248 0} 
Flow 6877: {108 253 0} 
Flow 6913: {86 79 0} 
