Number of groups: 487
Flow 14: {2 86 0} 
Flow 16: {86 8 0} 
Flow 37: {125 51 0} 
Flow 113: {103 106 0} 
Flow 149: {6 7 0} 
Flow 174: {101 259 0} 
Flow 183: {119 277 0} 
Flow 230: {23 30 0} 
Flow 250: {54 59 0} 
Flow 260: {74 232 0} 
Flow 266: {63 80 0} 
Flow 314: {9 10 0} 
Flow 320: {16 15 0} 
Flow 343: {78 236 0} 
Flow 363: {9 8 0} 
Flow 386: {21 179 0} 
Flow 421: {92 250 0} 
Flow 424: {110 107 0} 
Flow 460: {15 173 0} 
Flow 483: {48 206 0} 
Flow 523: {106 264 0} 
Flow 530: {109 102 0} 
Flow 582: {22 21 0} 
Flow 605: {12 11 0} 
Flow 612: {12 19 0} 
Flow 722: {146 147 0} 
Flow 752: {10 168 0} 
Flow 796: {15 16 0} 
Flow 843: {144 302 0} 
Flow 847: {152 310 0} 
Flow 860: {15 18 0} 
Flow 862: {16 19 0} 
Flow 927: {122 145 0} 
Flow 937: {17 12 0} 
Flow 973: {158 157 0} 
Flow 977: {18 17 0} 
Flow 989: {18 15 0} 
Flow 989: {102 101 0} 
Flow 1007: {16 174 0} 
Flow 1017: {85 32 0} 
Flow 1023: {35 34 0} 
Flow 1030: {50 208 0} 
Flow 1100: {106 103 0} 
Flow 1101: {108 105 0} 
Flow 1118: {30 188 0} 
Flow 1142: {64 222 0} 
Flow 1176: {20 108 0} 
Flow 1186: {103 104 0} 
Flow 1199: {108 107 0} 
Flow 1247: {27 98 0} 
Flow 1266: {121 97 0} 
Flow 1287: {68 19 0} 
Flow 1288: {134 292 0} 
Flow 1308: {37 34 0} 
Flow 1326: {23 29 0} 
Flow 1341: {29 53 0} 
Flow 1393: {24 30 0} 
Flow 1429: {24 23 0} 
Flow 1571: {39 197 0} 
Flow 1599: {94 95 0} 
Flow 1611: {121 279 0} 
Flow 1612: {123 281 0} 
Flow 1618: {119 117 0} 
Flow 1635: {28 25 0} 
Flow 1654: {118 276 0} 
Flow 1658: {34 35 0} 
Flow 1663: {151 309 0} 
Flow 1668: {53 54 0} 
Flow 1677: {19 16 0} 
Flow 1700: {8 86 0} 
Flow 1772: {32 85 0} 
Flow 1781: {86 2 0} 
Flow 1786: {32 35 0} 
Flow 1833: {21 78 0} 
Flow 1840: {73 75 0} 
Flow 1850: {91 249 0} 
Flow 1856: {111 269 0} 
Flow 1874: {152 151 0} 
Flow 1877: {36 117 0} 
Flow 1899: {54 53 0} 
Flow 1923: {38 84 0} 
Flow 1936: {77 73 0} 
Flow 1962: {107 108 0} 
Flow 1988: {50 158 0} 
Flow 2068: {51 52 0} 
Flow 2199: {39 40 0} 
Flow 2218: {120 8 0} 
Flow 2234: {13 171 0} 
Flow 2259: {39 84 0} 
Flow 2265: {70 228 0} 
Flow 2313: {40 34 0} 
Flow 2317: {41 44 0} 
Flow 2322: {78 21 0} 
Flow 2327: {42 47 0} 
Flow 2327: {47 138 0} 
Flow 2359: {48 49 0} 
Flow 2368: {111 114 0} 
Flow 2411: {120 119 0} 
Flow 2412: {144 143 0} 
Flow 2416: {4 5 0} 
Flow 2448: {130 128 0} 
Flow 2451: {8 110 0} 
Flow 2458: {158 7 0} 
Flow 2459: {135 142 0} 
Flow 2469: {3 161 0} 
Flow 2484: {27 185 0} 
Flow 2485: {143 158 0} 
Flow 2489: {33 191 0} 
Flow 2511: {88 144 0} 
Flow 2534: {50 136 0} 
Flow 2540: {104 103 0} 
Flow 2551: {58 124 0} 
Flow 2556: {43 88 0} 
Flow 2571: {44 43 0} 
Flow 2579: {135 137 0} 
Flow 2634: {158 143 0} 
Flow 2640: {45 42 0} 
Flow 2642: {46 47 0} 
Flow 2642: {138 135 0} 
Flow 2690: {31 132 0} 
Flow 2702: {123 130 0} 
Flow 2704: {47 48 0} 
Flow 2716: {102 260 0} 
Flow 2727: {137 136 0} 
Flow 2826: {49 5 0} 
Flow 2830: {3 133 0} 
Flow 2848: {48 47 0} 
Flow 2853: {4 3 0} 
Flow 2853: {54 212 0} 
Flow 2859: {157 156 0} 
Flow 2912: {4 6 0} 
Flow 2978: {13 31 0} 
Flow 3018: {31 189 0} 
Flow 3023: {36 194 0} 
Flow 3027: {40 198 0} 
Flow 3080: {108 266 0} 
Flow 3085: {117 118 0} 
Flow 3103: {51 125 0} 
Flow 3106: {132 31 0} 
Flow 3108: {51 58 0} 
Flow 3128: {52 51 0} 
Flow 3146: {33 36 0} 
Flow 3190: {138 47 0} 
Flow 3202: {118 92 0} 
Flow 3223: {119 120 0} 
Flow 3232: {54 84 0} 
Flow 3251: {141 142 0} 
Flow 3254: {100 122 0} 
Flow 3260: {157 315 0} 
Flow 3298: {84 242 0} 
Flow 3306: {101 102 0} 
Flow 3328: {151 155 0} 
Flow 3332: {34 33 0} 
Flow 3361: {79 237 0} 
Flow 3383: {132 290 0} 
Flow 3393: {55 54 0} 
Flow 3408: {56 55 0} 
Flow 3409: {129 130 0} 
Flow 3417: {68 107 0} 
Flow 3440: {57 60 0} 
Flow 3442: {47 42 0} 
Flow 3478: {58 51 0} 
Flow 3478: {93 251 0} 
Flow 3505: {139 297 0} 
Flow 3544: {84 39 0} 
Flow 3548: {45 203 0} 
Flow 3561: {67 225 0} 
Flow 3564: {84 38 0} 
