Number of groups: 370
Flow 11: {81 98} 
Flow 16: {2 125} 
Flow 41: {4 3} 
Flow 41: {3 2} 
Flow 42: {5 125} 
Flow 50: {17 196} 
Flow 75: {77 121} 
Flow 93: {107 286} 
Flow 105: {126 305} 
Flow 106: {104 106} 
Flow 137: {44 46} 
Flow 153: {87 88} 
Flow 159: {124 80} 
Flow 162: {49 52} 
Flow 169: {14 15} 
Flow 169: {67 246} 
Flow 196: {17 49} 
Flow 203: {11 17} 
Flow 214: {19 24} 
Flow 215: {101 280} 
Flow 218: {38 34} 
Flow 218: {106 285} 
Flow 226: {15 73} 
Flow 226: {69 70} 
Flow 232: {49 228} 
Flow 244: {92 89} 
Flow 262: {93 91} 
Flow 273: {7 19} 
Flow 287: {107 22} 
Flow 296: {123 39} 
Flow 304: {50 229} 
Flow 311: {7 8} 
Flow 331: {64 44} 
Flow 344: {137 138} 
Flow 361: {130 309} 
Flow 364: {133 312} 
Flow 369: {21 19} 
Flow 377: {22 107} 
Flow 408: {25 22} 
Flow 449: {27 26} 
Flow 449: {100 130} 
Flow 450: {19 7} 
Flow 453: {103 109} 
Flow 474: {126 119} 
Flow 478: {30 33} 
Flow 487: {1 83} 
Flow 509: {28 103} 
Flow 518: {29 115} 
Flow 523: {129 128} 
Flow 531: {83 84} 
Flow 546: {10 12} 
Flow 554: {31 27} 
Flow 555: {112 127} 
Flow 567: {3 182} 
Flow 571: {15 194} 
Flow 580: {45 224} 
Flow 582: {48 227} 
Flow 588: {56 235} 
Flow 610: {132 131} 
Flow 617: {110 289} 
Flow 624: {123 302} 
Flow 635: {27 31} 
Flow 659: {35 34} 
Flow 672: {91 92} 
Flow 679: {36 123} 
Flow 690: {109 110} 
Flow 695: {131 130} 
Flow 696: {26 27} 
Flow 705: {134 135} 
Flow 707: {133 132} 
Flow 714: {41 123} 
Flow 724: {36 40} 
Flow 765: {34 133} 
Flow 765: {100 134} 
Flow 783: {10 189} 
Flow 788: {130 100} 
Flow 806: {121 67} 
Flow 835: {42 122} 
Flow 837: {43 122} 
Flow 857: {101 53} 
Flow 859: {68 66} 
Flow 859: {69 56} 
Flow 890: {54 55} 
Flow 895: {88 87} 
Flow 896: {125 304} 
Flow 938: {44 102} 
Flow 952: {119 126} 
Flow 955: {124 68} 
Flow 975: {103 28} 
Flow 987: {60 239} 
Flow 991: {48 75} 
Flow 996: {93 272} 
Flow 1003: {103 282} 
