Number of groups: 405
Flow 22: {81 98 0} 
Flow 40: {112 127 0} 
Flow 71: {38 41 0} 
Flow 73: {44 223 0} 
Flow 110: {103 109 0} 
Flow 117: {124 303 0} 
Flow 119: {115 113 0} 
Flow 121: {27 26 0} 
Flow 124: {72 100 0} 
Flow 135: {31 27 0} 
Flow 154: {3 2 0} 
Flow 199: {133 312 0} 
Flow 202: {85 81 0} 
Flow 209: {4 3 0} 
Flow 219: {12 191 0} 
Flow 220: {5 125 0} 
Flow 229: {6 5 0} 
Flow 237: {77 121 0} 
Flow 262: {86 88 0} 
Flow 262: {87 89 0} 
Flow 324: {81 85 0} 
Flow 338: {9 61 0} 
Flow 343: {61 59 0} 
Flow 372: {43 86 0} 
Flow 384: {65 8 0} 
Flow 400: {19 24 0} 
Flow 423: {22 25 0} 
Flow 469: {36 123 0} 
Flow 492: {103 128 0} 
Flow 514: {69 70 0} 
Flow 534: {10 14 0} 
Flow 538: {79 76 0} 
Flow 551: {12 10 0} 
Flow 552: {68 124 0} 
Flow 563: {87 88 0} 
Flow 563: {101 280 0} 
Flow 605: {38 34 0} 
Flow 653: {66 68 0} 
Flow 663: {23 116 0} 
Flow 685: {13 192 0} 
Flow 711: {14 15 0} 
Flow 722: {73 13 0} 
Flow 731: {99 278 0} 
Flow 740: {120 299 0} 
Flow 765: {23 202 0} 
Flow 767: {26 205 0} 
Flow 769: {130 100 0} 
Flow 776: {15 14 0} 
Flow 789: {76 255 0} 
Flow 856: {13 69 0} 
Flow 893: {17 49 0} 
Flow 895: {55 94 0} 
Flow 897: {33 30 0} 
Flow 897: {119 126 0} 
Flow 938: {113 292 0} 
Flow 942: {58 48 0} 
Flow 952: {135 136 0} 
Flow 973: {59 64 0} 
Flow 981: {18 19 0} 
Flow 1012: {79 78 0} 
Flow 1034: {95 96 0} 
Flow 1039: {61 9 0} 
Flow 1051: {78 257 0} 
Flow 1092: {20 24 0} 
Flow 1094: {21 19 0} 
Flow 1096: {22 107 0} 
Flow 1096: {107 127 0} 
Flow 1102: {127 106 0} 
Flow 1147: {51 122 0} 
Flow 1191: {96 275 0} 
Flow 1203: {125 304 0} 
Flow 1212: {7 8 0} 
Flow 1213: {25 22 0} 
Flow 1233: {26 28 0} 
Flow 1256: {121 71 0} 
Flow 1284: {117 120 0} 
Flow 1342: {130 131 0} 
Flow 1346: {28 103 0} 
Flow 1355: {59 61 0} 
Flow 1380: {109 72 0} 
Flow 1406: {30 33 0} 
Flow 1418: {17 196 0} 
Flow 1421: {20 199 0} 
Flow 1445: {29 30 0} 
Flow 1483: {29 115 0} 
Flow 1510: {1 83 0} 
Flow 1539: {87 266 0} 
Flow 1566: {32 29 0} 
Flow 1568: {33 126 0} 
Flow 1581: {113 112 0} 
Flow 1603: {18 197 0} 
Flow 1621: {135 97 0} 
Flow 1645: {10 12 0} 
Flow 1648: {93 272 0} 
Flow 1692: {40 16 0} 
Flow 1695: {14 10 0} 
Flow 1699: {34 133 0} 
Flow 1739: {93 91 0} 
