Number of groups: 790
Flow 4: {1 4 0} 
Flow 90: {2 32 0} 
Flow 131: {4 141 0} 
Flow 178: {65 66 0} 
Flow 203: {2 52 0} 
Flow 209: {2 31 0} 
Flow 210: {59 220 0} 
Flow 242: {91 252 0} 
Flow 243: {34 26 0} 
Flow 288: {2 137 0} 
Flow 319: {3 7 0} 
Flow 354: {1 2 0} 
Flow 374: {3 62 0} 
Flow 388: {2 76 0} 
Flow 432: {3 1 0} 
Flow 465: {3 53 0} 
Flow 470: {2 34 0} 
Flow 476: {1 3 0} 
Flow 501: {4 68 0} 
Flow 529: {4 53 0} 
Flow 533: {39 60 0} 
Flow 590: {4 7 0} 
Flow 650: {5 7 0} 
Flow 654: {20 181 0} 
Flow 661: {29 27 0} 
Flow 662: {5 6 0} 
Flow 688: {7 2 0} 
Flow 793: {2 75 0} 
Flow 890: {40 46 0} 
Flow 893: {25 114 0} 
Flow 918: {26 110 0} 
Flow 973: {2 127 0} 
Flow 977: {75 25 0} 
Flow 990: {2 37 0} 
Flow 1000: {2 38 0} 
Flow 1164: {54 26 0} 
Flow 1303: {53 47 0} 
Flow 1440: {26 51 0} 
Flow 1461: {53 73 0} 
Flow 1497: {25 110 0} 
Flow 1512: {8 9 0} 
Flow 1522: {134 295 0} 
Flow 1533: {22 146 0} 
Flow 1550: {2 1 0} 
Flow 1552: {53 3 0} 
Flow 1606: {11 26 0} 
Flow 1621: {11 135 0} 
Flow 1633: {114 85 0} 
Flow 1649: {102 101 0} 
Flow 1659: {128 116 0} 
Flow 1676: {10 12 0} 
Flow 1709: {11 10 0} 
Flow 1845: {12 20 0} 
Flow 1919: {26 34 0} 
Flow 1979: {110 109 0} 
Flow 2019: {149 310 0} 
Flow 2044: {14 15 0} 
Flow 2138: {114 120 0} 
Flow 2146: {13 10 0} 
Flow 2149: {14 16 0} 
Flow 2184: {7 168 0} 
Flow 2191: {15 14 0} 
Flow 2216: {46 39 0} 
Flow 2230: {9 54 0} 
Flow 2244: {67 228 0} 
Flow 2268: {94 91 0} 
Flow 2272: {15 16 0} 
Flow 2283: {25 128 0} 
Flow 2315: {146 25 0} 
Flow 2332: {130 99 0} 
Flow 2356: {16 21 0} 
Flow 2359: {16 23 0} 
Flow 2458: {16 13 0} 
Flow 2467: {141 302 0} 
Flow 2521: {17 19 0} 
Flow 2524: {81 31 0} 
Flow 2525: {30 38 0} 
Flow 2531: {17 18 0} 
Flow 2587: {89 100 0} 
Flow 2710: {35 62 0} 
Flow 2834: {89 94 0} 
Flow 2974: {2 7 0} 
Flow 2976: {12 10 0} 
Flow 3077: {20 22 0} 
Flow 3119: {75 2 0} 
Flow 3119: {152 313 0} 
Flow 3121: {154 315 0} 
Flow 3140: {16 12 0} 
Flow 3188: {21 20 0} 
Flow 3217: {146 26 0} 
Flow 3236: {21 16 0} 
Flow 3461: {10 11 0} 
Flow 3465: {23 16 0} 
Flow 3479: {29 190 0} 
Flow 3496: {23 20 0} 
Flow 3622: {11 172 0} 
Flow 3634: {24 23 0} 
Flow 3684: {74 235 0} 
Flow 3738: {24 13 0} 
Flow 3768: {158 319 0} 
Flow 3829: {60 221 0} 
Flow 3872: {105 266 0} 
Flow 3956: {67 28 0} 
Flow 3985: {57 218 0} 
Flow 3992: {70 64 0} 
Flow 4084: {70 75 0} 
Flow 4093: {68 4 0} 
Flow 4142: {27 29 0} 
Flow 4155: {27 28 0} 
Flow 4164: {77 238 0} 
Flow 4177: {66 75 0} 
Flow 4198: {111 272 0} 
Flow 4198: {116 107 0} 
Flow 4214: {31 127 0} 
Flow 4239: {66 68 0} 
Flow 4253: {6 5 0} 
Flow 4255: {28 67 0} 
Flow 4258: {68 69 0} 
Flow 4306: {46 31 0} 
Flow 4312: {67 64 0} 
Flow 4314: {67 63 0} 
Flow 4314: {63 66 0} 
Flow 4379: {75 70 0} 
Flow 4402: {18 154 0} 
Flow 4461: {52 213 0} 
Flow 4476: {63 67 0} 
Flow 4542: {29 66 0} 
Flow 4558: {53 149 0} 
Flow 4564: {75 40 0} 
Flow 4565: {66 65 0} 
Flow 4638: {68 229 0} 
Flow 4646: {36 76 0} 
Flow 4668: {85 98 0} 
Flow 4679: {30 34 0} 
Flow 4679: {34 102 0} 
Flow 4785: {55 216 0} 
Flow 4830: {46 47 0} 
Flow 4878: {7 151 0} 
Flow 4938: {32 2 0} 
Flow 4989: {101 262 0} 
Flow 5038: {150 311 0} 
Flow 5045: {32 30 0} 
Flow 5045: {30 39 0} 
Flow 5067: {33 30 0} 
Flow 5097: {50 211 0} 
Flow 5112: {33 2 0} 
Flow 5112: {2 140 0} 
Flow 5127: {19 83 0} 
Flow 5200: {140 156 0} 
Flow 5209: {34 2 0} 
Flow 5220: {10 13 0} 
Flow 5290: {85 86 0} 
Flow 5302: {98 259 0} 
Flow 5310: {107 106 0} 
Flow 5326: {26 122 0} 
Flow 5386: {22 183 0} 
Flow 5395: {31 192 0} 
Flow 5431: {2 68 0} 
Flow 5436: {35 64 0} 
Flow 5441: {19 79 0} 
Flow 5495: {133 294 0} 
Flow 5528: {35 2 0} 
Flow 5568: {45 206 0} 
Flow 5640: {135 117 0} 
Flow 5654: {30 31 0} 
Flow 5659: {30 40 0} 
Flow 5687: {37 2 0} 
Flow 5696: {12 173 0} 
Flow 5758: {66 64 0} 
Flow 5764: {37 30 0} 
Flow 5772: {88 249 0} 
Flow 5821: {137 298 0} 
Flow 5897: {38 52 0} 
Flow 5902: {38 46 0} 
Flow 5939: {127 94 0} 
Flow 5944: {38 32 0} 
Flow 5954: {38 53 0} 
Flow 5974: {38 30 0} 
Flow 5981: {38 51 0} 
Flow 5998: {153 314 0} 
Flow 6050: {19 44 0} 
Flow 6053: {48 209 0} 
Flow 6055: {2 50 0} 
Flow 6057: {47 52 0} 
Flow 6157: {39 46 0} 
Flow 6159: {157 318 0} 
Flow 6160: {39 158 0} 
Flow 6177: {14 175 0} 
Flow 6231: {69 68 0} 
Flow 6248: {26 85 0} 
Flow 6267: {103 104 0} 
Flow 6281: {40 53 0} 
Flow 6353: {66 29 0} 
Flow 6361: {40 34 0} 
Flow 6369: {18 44 0} 
Flow 6380: {56 217 0} 
Flow 6416: {92 253 0} 
Flow 6439: {115 276 0} 
Flow 6466: {41 6 0} 
Flow 6483: {6 75 0} 
Flow 6502: {42 6 0} 
Flow 6520: {39 200 0} 
Flow 6591: {25 145 0} 
Flow 6637: {43 6 0} 
Flow 6649: {16 15 0} 
Flow 6726: {81 95 0} 
Flow 6824: {19 81 0} 
Flow 6890: {53 102 0} 
Flow 6906: {125 286 0} 
Flow 6929: {44 18 0} 
Flow 6942: {31 2 0} 
Flow 6984: {45 44 0} 
Flow 7014: {73 234 0} 
Flow 7017: {76 237 0} 
Flow 7022: {44 19 0} 
Flow 7050: {102 109 0} 
Flow 7106: {46 38 0} 
Flow 7174: {34 72 0} 
Flow 7228: {31 81 0} 
Flow 7244: {2 142 0} 
Flow 7261: {159 320 0} 
Flow 7271: {47 53 0} 
Flow 7296: {30 33 0} 
Flow 7339: {75 77 0} 
Flow 7428: {38 2 0} 
Flow 7455: {38 199 0} 
Flow 7544: {48 139 0} 
Flow 7560: {139 157 0} 
Flow 7561: {46 37 0} 
Flow 7629: {49 34 0} 
Flow 7657: {81 96 0} 
Flow 7700: {47 51 0} 
Flow 7704: {6 140 0} 
Flow 7719: {49 46 0} 
Flow 7731: {50 2 0} 
Flow 7806: {81 242 0} 
Flow 7873: {148 309 0} 
Flow 7883: {34 158 0} 
Flow 7896: {10 171 0} 
Flow 7903: {19 17 0} 
Flow 7930: {51 47 0} 
Flow 7949: {51 40 0} 
Flow 7958: {51 72 0} 
Flow 7959: {75 73 0} 
Flow 7994: {51 26 0} 
Flow 8043: {51 139 0} 
Flow 8083: {52 38 0} 
Flow 8088: {52 40 0} 
Flow 8091: {52 47 0} 
Flow 8106: {72 62 0} 
Flow 8115: {52 72 0} 
Flow 8116: {52 73 0} 
Flow 8153: {26 118 0} 
Flow 8160: {52 26 0} 
Flow 8167: {52 129 0} 
Flow 8184: {52 2 0} 
Flow 8190: {52 102 0} 
Flow 8199: {52 139 0} 
Flow 8203: {161 322 0} 
Flow 8242: {40 201 0} 
Flow 8253: {53 40 0} 
Flow 8272: {53 72 0} 
Flow 8328: {128 289 0} 
Flow 8360: {160 321 0} 
Flow 8376: {15 176 0} 
Flow 8409: {47 46 0} 
Flow 8422: {61 222 0} 
Flow 8432: {71 232 0} 
Flow 8538: {54 9 0} 
Flow 8539: {55 54 0} 
Flow 8579: {18 57 0} 
Flow 8631: {134 118 0} 
Flow 8655: {55 133 0} 
Flow 8718: {56 53 0} 
Flow 8733: {129 52 0} 
Flow 8799: {114 121 0} 
Flow 8818: {140 301 0} 
Flow 8825: {119 147 0} 
Flow 8860: {21 182 0} 
Flow 8903: {74 64 0} 
Flow 8927: {89 88 0} 
Flow 8928: {89 250 0} 
Flow 8952: {113 274 0} 
Flow 8954: {57 18 0} 
Flow 8954: {114 115 0} 
Flow 8956: {117 278 0} 
Flow 8963: {81 124 0} 
Flow 8963: {124 285 0} 
Flow 9062: {63 224 0} 
Flow 9067: {40 75 0} 
Flow 9098: {58 59 0} 
Flow 9182: {59 19 0} 
Flow 9188: {28 189 0} 
Flow 9215: {54 55 0} 
Flow 9307: {19 89 0} 
Flow 9359: {60 39 0} 
Flow 9364: {48 31 0} 
Flow 9391: {19 71 0} 
Flow 9428: {108 269 0} 
Flow 9436: {60 48 0} 
Flow 9460: {60 62 0} 
Flow 9513: {32 193 0} 
Flow 9514: {61 35 0} 
Flow 9544: {35 63 0} 
Flow 9555: {60 64 0} 
Flow 9611: {34 129 0} 
Flow 9626: {48 46 0} 
Flow 9645: {62 3 0} 
Flow 9649: {62 7 0} 
Flow 9665: {24 185 0} 
Flow 9670: {62 140 0} 
Flow 9678: {30 37 0} 
Flow 9679: {62 35 0} 
Flow 9685: {44 205 0} 
Flow 9694: {53 214 0} 
Flow 9698: {35 30 0} 
Flow 9714: {62 75 0} 
Flow 9719: {80 241 0} 
Flow 9748: {62 34 0} 
Flow 9749: {110 271 0} 
Flow 9758: {119 280 0} 
Flow 9796: {62 139 0} 
Flow 9799: {62 70 0} 
Flow 9806: {6 167 0} 
Flow 9859: {63 35 0} 
Flow 9860: {140 62 0} 
Flow 9873: {161 76 0} 
Flow 9880: {85 84 0} 
Flow 9888: {85 92 0} 
Flow 9937: {63 2 0} 
Flow 9950: {63 53 0} 
Flow 9981: {64 66 0} 
Flow 9985: {64 67 0} 
Flow 10009: {73 52 0} 
Flow 10018: {64 6 0} 
