Number of groups: 761
Flow 53: {2 140 0} 
Flow 54: {2 68 0} 
Flow 62: {19 79 0} 
Flow 112: {2 70 0} 
Flow 116: {2 139 0} 
Flow 118: {4 141 0} 
Flow 122: {119 147 0} 
Flow 129: {139 157 0} 
Flow 186: {2 35 0} 
Flow 268: {149 310 0} 
Flow 281: {1 4 0} 
Flow 284: {3 7 0} 
Flow 298: {65 66 0} 
Flow 312: {2 38 0} 
Flow 317: {3 1 0} 
Flow 318: {2 52 0} 
Flow 319: {3 53 0} 
Flow 326: {3 62 0} 
Flow 341: {80 241 0} 
Flow 361: {75 78 0} 
Flow 367: {1 2 0} 
Flow 374: {2 75 0} 
Flow 412: {4 1 0} 
Flow 412: {1 3 0} 
Flow 432: {4 68 0} 
Flow 433: {68 66 0} 
Flow 443: {40 201 0} 
Flow 454: {4 7 0} 
Flow 457: {55 216 0} 
Flow 465: {2 63 0} 
Flow 473: {19 71 0} 
Flow 489: {89 250 0} 
Flow 547: {4 53 0} 
Flow 553: {22 159 0} 
Flow 567: {2 34 0} 
Flow 574: {20 21 0} 
Flow 580: {5 6 0} 
Flow 603: {5 7 0} 
Flow 667: {26 122 0} 
Flow 756: {65 67 0} 
Flow 760: {72 233 0} 
Flow 771: {85 246 0} 
Flow 789: {78 105 0} 
Flow 894: {7 62 0} 
Flow 896: {2 64 0} 
Flow 903: {7 2 0} 
Flow 936: {146 22 0} 
Flow 941: {19 112 0} 
Flow 1000: {13 16 0} 
Flow 1002: {19 180 0} 
Flow 1017: {37 198 0} 
Flow 1035: {53 56 0} 
Flow 1091: {128 116 0} 
Flow 1108: {133 134 0} 
Flow 1155: {9 54 0} 
Flow 1189: {81 242 0} 
Flow 1267: {13 24 0} 
Flow 1343: {116 107 0} 
Flow 1374: {8 9 0} 
Flow 1389: {140 156 0} 
Flow 1445: {11 10 0} 
Flow 1494: {11 135 0} 
Flow 1500: {11 26 0} 
Flow 1527: {18 17 0} 
Flow 1527: {17 178 0} 
Flow 1531: {16 23 0} 
Flow 1533: {69 29 0} 
Flow 1607: {16 108 0} 
Flow 1622: {20 22 0} 
Flow 1628: {22 146 0} 
Flow 1676: {24 23 0} 
Flow 1693: {42 203 0} 
Flow 1724: {12 20 0} 
Flow 1755: {109 270 0} 
Flow 1769: {25 110 0} 
Flow 1771: {126 287 0} 
Flow 1802: {53 40 0} 
Flow 1814: {11 172 0} 
Flow 1815: {16 12 0} 
Flow 1817: {15 14 0} 
Flow 1827: {21 20 0} 
Flow 1851: {15 16 0} 
Flow 1857: {60 221 0} 
Flow 1967: {16 21 0} 
Flow 1970: {69 68 0} 
Flow 1996: {18 57 0} 
Flow 1999: {47 46 0} 
Flow 2063: {131 292 0} 
Flow 2068: {16 13 0} 
Flow 2085: {10 8 0} 
Flow 2088: {161 322 0} 
Flow 2148: {19 90 0} 
Flow 2164: {114 117 0} 
Flow 2172: {17 18 0} 
Flow 2182: {17 19 0} 
Flow 2187: {155 316 0} 
Flow 2193: {127 2 0} 
Flow 2212: {23 184 0} 
Flow 2248: {35 62 0} 
Flow 2302: {120 281 0} 
Flow 2363: {30 33 0} 
Flow 2391: {74 64 0} 
Flow 2410: {94 99 0} 
Flow 2457: {51 136 0} 
Flow 2475: {39 139 0} 
Flow 2525: {19 59 0} 
Flow 2530: {66 64 0} 
Flow 2570: {110 109 0} 
Flow 2579: {134 118 0} 
Flow 2629: {21 16 0} 
Flow 2642: {32 193 0} 
Flow 2649: {135 40 0} 
Flow 2673: {75 6 0} 
Flow 2704: {99 260 0} 
Flow 2706: {102 101 0} 
Flow 2709: {134 133 0} 
Flow 2724: {114 120 0} 
Flow 2832: {103 264 0} 
Flow 2849: {129 290 0} 
Flow 2867: {146 26 0} 
Flow 2882: {23 24 0} 
Flow 2899: {2 33 0} 
Flow 2919: {24 13 0} 
